pegelNummer;pegelName;betreiber;gewaesser;geogrLaenge;geogrBreite;von;bis;parameter;stillgelegtAm;isDFUE;einzugsgebiet;pnp;pnp_gueltig_ab;gewaesserfolge
114538;Amtmannseck;LKN, Husum;Bongsieler Kanal;8.811173;54.686359;2003-11-28;;Wasserstand;2011-11-14;false;;-5.030000;2003-11-24;
114232;Aumühle;LKN, Itzehoe;Schwarze Au;10.291988;53.531593;1984-11-01;;Wasserstand;1992-10-31;false;83.9;14.060000;1994-11-01;
114082;Farchau;LKN, Kiel;Jutebek;10.756040;53.677513;1999-05-01;;Wasserstand;2001-01-31;false;;0.000000;1999-05-01;
114430;Flensburg-Nikolaiallee;LKN, Husum;Mühlenstrom (Flensburg);9.422582;54.774818;2000-02-01;;Wasserstand;2012-01-10;false;34.5;10.000000;2000-02-01;
114549;Aebtissinwisch;LKN, Itzehoe;Graben 21;9.285390;53.964619;2005-03-23;;Wasserstand;2012-01-19;false;;-5.000000;2004-12-20;
114324;Ammersbek;LKN, Itzehoe;Ammersbek;10.173985;53.708050;1991-01-01;2020-01-22;Wasserstand;;true;100.06;20.122999;2018-01-01;Elbe, Nordsee
114121;Brokstedt;LKN, Itzehoe;Brokstedter Au;9.811051;53.994877;1984-11-01;2020-01-22;Wasserstand;;true;99.32;-0.021000;2002-11-01;Elbe, Nordsee
114208;Holm/Osterbek;LKN, Kiel;Osterbek;9.715348;54.485561;1984-11-01;;Wasserstand;2009-02-23;false;27.4;-0.777000;2008-05-15;
111025;Holmer Siel Salzwasserbiotop;LKN, Husum;Salzwasserbiotop Beltringharde;8.873465;54.528042;2003-08-01;2020-01-22;Wasserstand;;true;312.08;-5.010000;1994-11-01;
114209;Gelting;LKN, Kiel;Knorr-Au;9.905687;54.739784;1984-11-01;;Wasserstand;1999-11-01;false;7.96;0.000000;1981-05-04;
114257;Gr.Hansdorf;LKN, Itzehoe;Viehbach;10.275533;53.666195;1984-11-01;;Wasserstand;1987-04-01;false;14.07;0.000000;1999-01-22;
114299;Gr.Segeberger See;LKN, Itzehoe;Segeberger See;10.317094;53.940338;1989-11-01;;Wasserstand;;false;8.55;0.000000;2002-09-18;
114264;Lanker See;LKN, Kiel;Lanker See;10.316483;54.215107;1985-11-01;;Wasserstand;;false;456.0;0.000000;1994-11-01;
111017;Hoyerswort;LKN, Husum;Alte Eider;8.951035;54.359184;1952-11-10;;Wasserstand;;false;18.76;-5.030000;2018-01-01;Nordsee
114269;Lehbek;LKN, Husum;Lehbek;9.877816;54.743137;1986-07-01;;Wasserstand;2000-09-06;false;7.39;0.324000;1986-07-07;
114334;Gr. Wittensee;LKN, Kiel;Mühlenbek;9.783959;54.403042;1991-12-01;;Wasserstand;1995-11-30;false;12.6;;;
114434;Habernis 1.0;LKN, Husum;Habernisau;9.768056;54.789310;2000-06-06;;Wasserstand;2009-02-02;false;24.15;0.000000;2000-06-22;
114361;Haby I;LKN, Kiel;Brobach;9.805752;54.398037;1993-12-01;;Wasserstand;1997-01-31;false;;0.000000;1992-01-01;
