FID,wkb_geometry,id,name_titel,adresse_or,georeferen,link_zu_da,erlaeutern,x,y
archivalie_des_monats.3,POINT (294408 5628828),2,"Luftschiff ""Graf Zeppelin""",Domhof 1,294408 5628828,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie04.html,"""Am 17. September 1929 konnte am Himmel über Aachen das Luftschiff 
LZ 127 """"Graf Zeppelin"""" bestaunt werden. Auf der Rückfahrt von einer Weltreise überflog es die Altstadt und den Dom.""",294408,5628828
archivalie_des_monats.6,POINT (293534 5629808),4,Aachener Bend,Bendplatz,293534 5629808,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie09.html,"Am 11. März 1927 beschloss die Stadtverordneten-Versammlung die Anlage eines Geländes speziell für die Durchführung von „Volksbelustigungen“ in der Nähe des Westbahnhofs. Mit Ratsbeschluss vom 27. Juli 1927 erhielt dieser Platz den Namen ""Aachener Bend"".",293534,5629808
archivalie_des_monats.7,POINT (296863 5628600),5,Kennedypark,Elsaßstraße 58,296863 5628600,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie10.html,"Ab 1962 wurde auf dem Gelände der ehemaligen Gelben Kaserne eine Grünanlage als ""Ostpark"" geplant. In Erinnerung an den 1963 ermordeten US-Präsidenten John F. Kennedy wurde der Park am 17. September 1966 aber als Kennedypark eingeweiht.",296863,5628600
archivalie_des_monats.9,POINT (294404 5628982),11,Oberbürgermeister Farwick,Markt,294404 5628982,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie12.html,"""Am 24. November 1916 trat der Zentrumspolitiker Wilhelm Farwick seinen Dienst 
als neuer Bürgermeister der Stadt Aachen an.Im Januar 1917 wurde ihm durch 
Kaiser Wilhelm II. zusätzlich der Titel „Oberbürgermeister“ verliehen"""".""",294404,5628982
archivalie_des_monats.2,POINT (293450 5627629),1,Fredy Hirsch,Lütticher Straße 111,293450 5627629,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie03.html,"Zum Gedenken an den in Auschwitz-Birkenau ermordeten Aachener Juden Fredy Hirsch gibt das Couven Gymnasium seiner Aula den Namen ""Fredy Hirsch Forum"". Fredy Hirsch besuchte die Vorgängerschule, das Hindenburggymnasium und war gemeinsam mit seinem Bruder ein führendes Mitglied des jüdischen Pfadfinderbundes, wirkte als Funktionär, Sportlehrer und Jugenderzieher und setzte sich als Häftling im Vernichtungslager Auschwitz-Birkenau für die Betreuung und das Überleben von jüdischen Kindern aus dem Ghetto Theresienstadt ein.",293450,5627629
archivalie_des_monats.10,POINT (294836 5627841),7,Weihnachten bei Familie Kropp,Kasinostraße 77,294836 5627841,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie13.html,"Christian Carl Kropp war der Sohn des Tuchfabrikanten Christian Wilhelm Kropp, 
der von 1850 bis 1862 Bürgermeister von Burtscheid war. Christian Carl Kropp war verheiratet mit Rosalie Christiane Auguste Reinecke. Die Familie lebte die ersten Jahre in Argentinien und siedelte sich 1874 in Burtscheid an, wo sie in der 
Casinostraße 77 ein neues Heim fand.",294836,5627841
archivalie_des_monats.4,POINT (296943 5628514),3,Nadelfabrik,Reichsweg 30,296943 5628514,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie05.html,"""Die Rheinischen Nadelfabriken aus Aachen waren Anfang der 1920er-Jahre die 
größten Nadelhersteller der Welt. Das Verwaltungsgebäude der 
Rheinischen Nadelfabriken am Reichsweg 30 bildete den vorläufigen Abschluss 
des Konzentrationsprozesses der Maschinennadelproduktion am Reichsweg.""",296943,5628514
archivalie_des_monats.13,POINT (295225 5628652),9,Barthold Suermondt,Wilhelmstraße 18,295225 5628652,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie16.html,"Der Aachener Unternehmer und Kunstsammler Barthold Suermondt schenkte nach und nach seine bedeutende Gemäldesammlung dem 1877 gegründeten Aachener Museumsverein, was ihm die Ehrenbürgerwürde einbrachte. Mit dem Übergang in den Hoheitsbereich der Stadt Aachen 1882 wurde das Museum in „Städtisches Suermondt-Museum“ umbenannt, die Keimzelle des heutigen Suermondt-Ludwig-Museums.",295225,5628652
archivalie_des_monats.16,POINT (293421 5628601),16,Handwerksausstellung 1907,Westpark,293421 5628601,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie21.html,"1907 fand sich ein breiter Zusammenschluss von Aachener Bürgern, um eine Ausstellung speziell als Werbung für das regionale Handwerk zu organisieren. Deshalb fand vom 15. August bis zum 20. September 1907 in der Stadt die Handwerksausstellung verbunden mit einer Sonder-Ausstellung für christliche Kunst statt. Veranstaltungsort waren die Anlagen des Zoologischen Gartens im heutigen Westpark. Begleitend zur Ausstellung fand auf dem Gelände des Zoologischen Gartens ein umfangreiches Konzert- und Vergnügungsprogramm statt.",293421,5628601
archivalie_des_monats.8,POINT (297307 5629293),6,Aachener Nachrichten,Dresdener Straße 3,297307 5629293,http://www.aachen.de/de/kultur_freizeit/kultur/stadtarchiv/archivalie_monat/archivalie11.html,"Die Aachener Nachrichten, „veröffentlicht unter Zulassung Nr. 1 der Militärregierung“ der Alliierten in Deutschland, bezeichnete sich selbst als „erste neudeutsche Zeitung“. Sie veröffentlichte auch das einseitige Extrablatt vom 1. Oktober 1946 über die Verkündung der Urteile im Nürnberger Hauptkriegsverbrecherprozess, die vom Internationalen Militärgerichtshof am 30. September und 1. Oktober 1946 gesprochen wurden.",297307,5629293
