Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
21984,Sachgesamtheit,Kreis Segeberg,Alveslohe,Kadener Straße 9,Gut Kaden,"Gut Kaden; 18.-19. Jh.; Hofanlage des ehem. adligen Guts Kaden aus Herrenhaus, Ehrenhof mit Pflasterung, zentraler Lindenallee, Eingangstor, ehem. Kuhhaus (Caddyhaus), ehem. Verwalterhaus, nördlicher Gartenallee, Allee zum ehem. Teehaus sowie Zufahrtsallee","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Herrenhaus, ehem. Kuhhaus (Caddyhaus), ehem. Verwalterhaus, Ehrenhof mit Pfasterung, Zufahrtsallee, Eingangstor, zentrale Lindenallee, nördliche Gartenallee, Allee zum ehem. Teehaus",
1200,Bauliche Anlage,Kreis Segeberg,Alveslohe,Kadener Straße 9,Herrenhaus,"Herrenhaus; um 1755, Architekt Ernst Georg Sonnin, 1864-70 Umbau; zweigeschossiger, siebenachsiger Putzbau unter Walmdach mit breiten Mittelrisaliten und dezentem neugotischem Dekor","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,
28333,Gründenkmal,Kreis Segeberg,Alveslohe,Kadener Straße 9,zentrale Lindenallee,"zentrale Lindenallee; um 1864; knapp 250 Meter lange, auf einem Damm nach Nordost verlaufende Allee durch den ehem. Gutspark Kaden","Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
46522,Sachgesamtheit,Kreis Segeberg,"Bad Bramstedt, Stadt","Am Bahnhof 14, 16",Grundschule Am Bahnhof,"ehem. Höhere Privatschule; 1908-10, 1911-12; Baugruppe aus zuerst für den Bramstedter Turnverein errichteter Turnhalle im Rundbogenstil und der ehem. höheren Privatschule im Heimatschutzstil","Geschichtlich, Städtebaulich","ehem. Höhere Privatschule (Grundschule) (Am Bahnhof 16), Turnhalle (Am Bahnhof 14)",
40999,Sachgesamtheit,Kreis Segeberg,"Bad Bramstedt, Stadt","An der Kirche 2, An der Kirche, Schlüskamp 1",Kirche St. Maria Magdalena,"Kirche St. Maria Magdalena; 14. Jh.-1912; im historischen Zentrum gelegenes Ensemble aus Kirche St. Maria Magdalena mit Ausstattung, 14. Jh., Kirchhof, 14. Jh.-1894, Grabmale bis 1870, Lindenkranz, Granitböschungsmauer, Pastorat, 1894, und Gemeindehaus, 1912","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Kirche St. Maria Magdalena mit Ausstattung, Kirchhof mit Grabmalen bis 1870, Lindenkranz, Granitböschungsmauer (An der Kirche), Pastorat (An der Kirche 2), Gemeindehaus (Schlüskamp 1)",
46321,Mehrheit von baulichen Anlagen,Kreis Segeberg,"Bad Bramstedt, Stadt","Im Winkel 1, 2, 3",Wohn- und Geschäftshäuser Im Winkel 1-3,"Wohn- und Geschäftshäuser Im Winkel 1-3; Ende 18. Jh.-19. Jh.; im historischen Zentrum gegenüber der Kirche gelegenes Ensemble aus Wohn- und Geschäftshaus Im Winkel 1, Wohn- und Geschäftshaus Im Winkel 2 und Wohn- und Geschäftshaus Im Winkel 3.","Geschichtlich, Städtebaulich","Wohn- und Geschäftshäuser Im Winkel 1, 2, 3",
42981,Mehrheit von baulichen Anlagen,Kreis Segeberg,"Bad Bramstedt, Stadt","Maienbeeck 35, 37, 39",Wohn- und Geschäftshäuser Maienbeeck 35-39,"Wohn- und Geschäftshäuser Maienbeeck 35-39; um 1870-1908; im historischen Zentrum gelegenes Ensemble aus Wohn- und Geschäftshaus Maienbeeck 35, Wohnhaus Maienbeeck 37 und Wohn- und Geschäftshaus Maienbeeck 39","Geschichtlich, Städtebaulich","Wohn- und Geschäftshäuser Maienbeeck 35, 37, 39",
4016,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Altonaer Straße,Friedrichsbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/4016.jpg
11039,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Altonaer Straße,Kiel-Altonaer Chaussee (Teilstück),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
11044,Bauliche Anlage,Kreis Segeberg,"Bad Bramstedt, Stadt",Am Bahnhof 14,Turnhalle,"Turnhalle; 1908, 1909-10; hoher eingeschossiger Putzbau mit backsteinsichtiger Lisenengliederung, Rundbogenfenstern und hartgedecktem Satteldach, nach Westen zweigeschossiger Anbau mit Walmdach","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendatarepo.lsh.uni-kiel.de/data/denkmalpflege/fotos/11044.jpg
