Datum_Uhrzeit,KBR_1011_IMK,KBR_1032_IMK,KBR_1041_IMK,KBR_1042_IMK,KBR_1071_IMK,KBR_1101_IMK,KBR_1111_IMK,KBR_1121_IMK,KBR_2011_IMK,KBR_2021_IMK,KBR_2041_IMK,KBR_2051_IMK,KBR_2061_IMK,KBR_2071_IMK,KBR_2081_IMK,KBR_2101_IMK,KBR_2111_IMK,KBR_2121_IMK,KBR_3011_IMK,KBR_3022_IMK,KBR_3031_IMK,KBR_3032_IMK,KBR_3051_IMK,KBR_3053_IMK,KBR_3055_IMK,KBR_3081_IMK,KBR_3091_IMK,KBR_3121_IMK,KKB_1031_IMK,KKB_1032_IMK,KKB_1041_IMK,KKB_1042_IMK,KKB_1091_IMK,KKB_1112_IMK,KKB_1121_IMK,KKB_2021_IMK,KKB_2031_IMK,KKB_2071_IMK,KKB_2091_IMK,KKB_2111_IMK,KKB_2121_IMK,KKB_3011_IMK,KKB_3031_IMK,KKB_3101_IMK,KKB_3121_IMK,KKB_3123_IMK,KKK_1001_IMK,KKK_1011_IMK,KKK_1031_IMK,KKK_1041_IMK,KKK_1051_IMK,KKK_1061_IMK,KKK_1082_IMK,KKK_1111_IMK,KKK_2011_IMK,KKK_2021_IMK,KKK_2031_IMK,KKK_2032_IMK,KKK_2041_IMK,KKK_2042_IMK,KKK_2061_IMK,KKK_2072_IMK,KKK_2081_IMK,KKK_2091_IMK,KKK_2101_IMK,KKK_2111_IMK,KKK_2112_IMK,KKK_2121_IMK,KKK_3011_IMK,KKK_3031_IMK,KKK_3061_IMK,KKK_3071_IMK,KKK_3101_IMK,KKK_3111_IMK,KBR_TBAS_MET,KBR_NID1_MET,KBR_WRK_TIS,KBR_WGK_TIS,KKB_TBAS_MET,KKB_NIED_MET,KKB_WRK_TIS,KKB_WGK_TIS,KKK_TBAS_MET,KKK_NIED_MET,KKK_WRK_TIS,KKK_WGK_TIS,Unnamed__87
,[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[µSv/h],[°C],[mm/h],[Grad],[m/s],[°C],[mm/h],[Grad],[m/s],[°C],[mm/h],[Grad],[m/s],
27.09.2023 01:00:00,"8,337e-02","8,765e-02","1,100e-01","8,338e-02","1,120e-01","1,013e-01","1,132e-01","1,062e-01","1,235e-01","9,737e-02","8,343e-02","7,302e-02","8,432e-02","8,390e-02","8,362e-02","1,090e-01","1,070e-01","8,465e-02","7,293e-02","7,553e-02","6,030e-02","8,530e-02","9,510e-02","9,298e-02","7,648e-02","8,812e-02","1,277e-01","9,053e-02","6,867e-02","8,448e-02","8,912e-02","7,215e-02","7,687e-02","7,190e-02","6,585e-02","8,473e-02","7,653e-02","1,001e-01","8,287e-02","1,031e-01","8,920e-02","6,882e-02","8,193e-02","9,240e-02","8,682e-02","9,540e-02","1,097e-01","8,903e-02","8,708e-02","7,960e-02","8,203e-02","9,455e-02","8,640e-02","7,235e-02","9,087e-02","7,143e-02","7,920e-02","1,003e-01","7,415e-02","1,223e-01","8,820e-02","8,353e-02","7,635e-02","8,448e-02","9,068e-02","9,360e-02","7,477e-02","7,728e-02","9,410e-02","1,107e-01","8,160e-02","7,618e-02","9,237e-02","8,973e-02",,,"1,856e+02","5,310e+00","1,619e+01",0,"1,827e+02","6,572e+00","1,605e+01",0,"1,729e+02","5,672e+00",
27.09.2023 02:00:00,"8,100e-02","8,720e-02","1,130e-01","8,370e-02","1,130e-01","9,910e-02","1,142e-01","1,055e-01","1,213e-01","9,477e-02","8,148e-02","7,313e-02","8,347e-02","8,328e-02","8,337e-02","1,078e-01","1,063e-01","8,473e-02","7,252e-02","7,778e-02","6,097e-02","8,332e-02","9,098e-02","9,503e-02","7,565e-02","9,048e-02","1,278e-01","9,122e-02","7,068e-02","8,428e-02","8,773e-02","7,240e-02","7,832e-02","6,748e-02","6,588e-02","8,435e-02","7,743e-02","1,003e-01","8,693e-02","1,013e-01","8,843e-02","7,385e-02","8,383e-02","9,052e-02","8,527e-02","1,004e-01","1,125e-01","9,002e-02","8,673e-02","8,137e-02","8,202e-02","9,593e-02","8,788e-02","7,183e-02","9,183e-02","7,295e-02","8,127e-02","9,665e-02","7,398e-02","1,200e-01","9,027e-02","8,195e-02","7,937e-02","8,737e-02","8,923e-02","9,440e-02","7,615e-02","8,148e-02","9,360e-02","1,108e-01","8,437e-02","8,037e-02","9,317e-02","9,415e-02",,,"1,781e+02","5,592e+00","1,449e+01",0,"1,795e+02","6,146e+00","1,469e+01",0,"1,684e+02","5,710e+00",
27.09.2023 03:00:00,"7,732e-02","8,737e-02","1,077e-01","8,673e-02","1,132e-01","1,001e-01","1,128e-01","1,122e-01","1,227e-01","9,677e-02","8,382e-02","7,070e-02","8,537e-02","8,205e-02","8,530e-02","1,147e-01","1,078e-01","8,853e-02","7,240e-02","7,552e-02","6,230e-02","8,357e-02","9,222e-02","9,378e-02","7,773e-02","8,542e-02","1,267e-01","8,852e-02","6,975e-02","8,423e-02","9,020e-02","7,727e-02","7,887e-02","6,718e-02","6,382e-02","8,527e-02","7,745e-02","1,020e-01","8,887e-02","1,020e-01","8,820e-02","6,875e-02","8,585e-02","9,293e-02","8,727e-02","9,827e-02","1,107e-01","9,437e-02","8,532e-02","7,790e-02","8,295e-02","9,627e-02","8,658e-02","7,467e-02","9,048e-02","7,340e-02","7,845e-02","1,048e-01","7,418e-02","1,215e-01","9,400e-02","8,215e-02","7,995e-02","8,790e-02","9,365e-02","9,880e-02","7,807e-02","7,863e-02","9,307e-02","1,055e-01","8,503e-02","8,198e-02","9,302e-02","9,420e-02",,,"1,839e+02","5,757e+00","1,430e+01",0,"1,880e+02","5,936e+00","1,522e+01",0,"1,724e+02","6,318e+00",
27.09.2023 04:00:00,"7,670e-02","8,777e-02","1,076e-01","8,690e-02","1,113e-01","9,967e-02","1,152e-01","1,083e-01","1,220e-01","9,718e-02","8,145e-02","7,323e-02","8,407e-02","8,390e-02","8,143e-02","1,125e-01","1,088e-01","9,128e-02","7,527e-02","8,123e-02","5,873e-02","8,377e-02","9,455e-02","9,282e-02","7,675e-02","8,678e-02","1,292e-01","9,105e-02","6,872e-02","8,293e-02","8,502e-02","7,485e-02","8,157e-02","6,995e-02","6,523e-02","8,460e-02","7,867e-02","1,022e-01","8,727e-02","1,008e-01","8,602e-02","7,252e-02","8,638e-02","9,188e-02","8,572e-02","9,860e-02","1,100e-01","8,888e-02","8,837e-02","8,065e-02","7,995e-02","9,780e-02","8,907e-02","7,130e-02","8,985e-02","7,512e-02","8,160e-02","1,010e-01","7,527e-02","1,223e-01","9,158e-02","8,293e-02","8,195e-02","8,457e-02","9,188e-02","9,730e-02","7,475e-02","7,738e-02","9,465e-02","1,113e-01","8,445e-02","7,973e-02","9,640e-02","9,232e-02",,,"2,009e+02","6,329e+00","1,445e+01",0,"1,986e+02","5,333e+00","1,562e+01",0,"1,877e+02","6,594e+00",
27.09.2023 05:00:00,"7,982e-02","9,010e-02","1,148e-01","8,278e-02","1,110e-01","9,852e-02","1,118e-01","1,086e-01","1,240e-01","9,685e-02","8,417e-02","7,103e-02","8,447e-02","8,265e-02","8,218e-02","1,095e-01","1,087e-01","8,467e-02","7,523e-02","7,605e-02","6,238e-02","8,752e-02","9,300e-02","8,937e-02","7,782e-02","8,923e-02","1,282e-01","8,995e-02","7,083e-02","8,147e-02","8,698e-02","7,225e-02","7,582e-02","6,983e-02","6,577e-02","8,223e-02","7,567e-02","1,045e-01","8,657e-02","1,001e-01","8,595e-02","7,185e-02","8,515e-02","9,208e-02","8,630e-02","9,905e-02","1,110e-01","9,137e-02","8,703e-02","8,138e-02","8,073e-02","9,848e-02","8,812e-02","7,457e-02","9,220e-02","7,523e-02","8,218e-02","1,018e-01","7,640e-02","1,190e-01","9,498e-02","8,820e-02","7,912e-02","8,682e-02","8,990e-02","9,493e-02","7,668e-02","7,790e-02","9,222e-02","1,076e-01","8,485e-02","7,803e-02","9,240e-02","9,238e-02",,,"2,163e+02","7,118e+00","1,406e+01",0,"2,229e+02","5,774e+00","1,485e+01",0,"2,051e+02","5,563e+00",
27.09.2023 06:00:00,"7,880e-02","8,870e-02","1,105e-01","8,582e-02","1,098e-01","1,019e-01","1,152e-01","1,078e-01","1,252e-01","9,468e-02","8,452e-02","7,030e-02","8,138e-02","8,067e-02","7,990e-02","1,113e-01","1,033e-01","8,653e-02","7,615e-02","7,835e-02","6,330e-02","8,495e-02","9,338e-02","9,167e-02","7,618e-02","8,885e-02","1,265e-01","9,145e-02","7,010e-02","7,928e-02","8,523e-02","7,335e-02","7,927e-02","6,867e-02","6,567e-02","8,172e-02","7,703e-02","1,021e-01","8,753e-02","1,028e-01","8,565e-02","6,752e-02","8,743e-02","9,143e-02","8,543e-02","9,963e-02","1,145e-01","9,317e-02","8,705e-02","8,057e-02","8,075e-02","9,662e-02","8,827e-02","7,315e-02","9,150e-02","7,248e-02","8,128e-02","1,009e-01","7,465e-02","1,227e-01","9,253e-02","8,562e-02","7,885e-02","8,717e-02","8,953e-02","9,472e-02","7,412e-02","8,035e-02","9,515e-02","1,122e-01","8,240e-02","7,777e-02","9,635e-02","9,657e-02",,,"2,182e+02","5,457e+00","1,390e+01",0,"2,282e+02","5,347e+00","1,367e+01",0,"2,324e+02","5,574e+00",
27.09.2023 07:00:00,"7,845e-02","8,748e-02","1,132e-01","8,543e-02","1,150e-01","9,802e-02","1,137e-01","1,097e-01","1,215e-01","9,452e-02","8,217e-02","7,258e-02","8,295e-02","8,178e-02","8,282e-02","1,107e-01","1,082e-01","8,460e-02","7,570e-02","7,750e-02","6,248e-02","8,408e-02","9,535e-02","9,292e-02","7,768e-02","8,862e-02","1,305e-01","8,975e-02","6,935e-02","8,007e-02","8,957e-02","7,138e-02","7,860e-02","6,875e-02","6,407e-02","8,273e-02","7,820e-02","1,007e-01","8,593e-02","1,011e-01","9,015e-02","7,073e-02","8,675e-02","9,215e-02","8,327e-02","9,882e-02","1,112e-01","9,372e-02","9,018e-02","8,185e-02","7,823e-02","9,548e-02","8,880e-02","7,627e-02","9,302e-02","7,465e-02","8,070e-02","1,041e-01","7,507e-02","1,255e-01","9,573e-02","8,470e-02","7,625e-02","8,695e-02","9,210e-02","9,637e-02","7,573e-02","7,943e-02","8,948e-02","1,107e-01","8,443e-02","7,758e-02","9,357e-02","9,432e-02",,,"2,171e+02","4,508e+00","1,288e+01",0,"2,233e+02","4,386e+00","1,330e+01",0,"2,405e+02","3,836e+00",
27.09.2023 08:00:00,"7,770e-02","8,662e-02","1,102e-01","8,302e-02","1,100e-01","1,017e-01","1,115e-01","1,077e-01","1,245e-01","9,460e-02","8,433e-02","6,998e-02","8,510e-02","8,502e-02","8,202e-02","1,098e-01","1,072e-01","8,523e-02","7,583e-02","8,145e-02","6,183e-02","8,507e-02","9,760e-02","9,443e-02","7,702e-02","8,595e-02","1,325e-01","9,107e-02","6,910e-02","8,240e-02","8,802e-02","7,590e-02","7,837e-02","6,940e-02","6,177e-02","8,280e-02","8,005e-02","1,027e-01","8,757e-02","1,006e-01","8,792e-02","7,128e-02","8,340e-02","9,205e-02","8,565e-02","9,752e-02","1,130e-01","9,295e-02","9,033e-02","8,307e-02","8,080e-02","9,768e-02","8,918e-02","7,265e-02","9,198e-02","7,225e-02","8,187e-02","1,022e-01","7,705e-02","1,237e-01","9,468e-02","8,712e-02","7,960e-02","8,792e-02","8,960e-02","9,847e-02","7,745e-02","7,740e-02","9,480e-02","1,120e-01","8,373e-02","7,970e-02","9,673e-02","9,578e-02",,,"2,104e+02","4,671e+00","1,284e+01",0,"2,162e+02","4,214e+00","1,323e+01",0,"2,327e+02","2,288e+00",
27.09.2023 09:00:00,"7,990e-02","9,157e-02","1,102e-01","8,628e-02","1,150e-01","1,017e-01","1,120e-01","1,057e-01","1,210e-01","9,707e-02","8,648e-02","7,178e-02","8,558e-02","8,690e-02","8,420e-02","1,098e-01","1,130e-01","8,718e-02","7,402e-02","8,175e-02","6,243e-02","8,520e-02","9,203e-02","9,210e-02","7,655e-02","8,982e-02","1,307e-01","9,153e-02","6,740e-02","8,055e-02","8,902e-02","7,273e-02","8,097e-02","7,228e-02","6,302e-02","8,398e-02","8,537e-02","1,014e-01","8,673e-02","1,045e-01","8,562e-02","7,068e-02","8,615e-02","9,317e-02","8,443e-02","9,742e-02","1,127e-01","9,152e-02","8,815e-02","7,968e-02","7,907e-02","9,793e-02","9,010e-02","7,582e-02","9,007e-02","7,787e-02","8,382e-02","1,028e-01","7,595e-02","1,245e-01","9,622e-02","8,453e-02","8,060e-02","8,865e-02","8,465e-02","9,618e-02","8,158e-02","8,115e-02","9,462e-02","1,101e-01","8,430e-02","8,082e-02","9,298e-02","9,532e-02",,,"2,243e+02","3,858e+00","1,374e+01",0,"2,339e+02","4,800e+00","1,470e+01",0,"1,801e+02","2,204e+00",
