Zeitreihe für Börm
""
Bevölkerungsstand nach Altersgruppen in Börm am 31.12.
""
"";0-17 Jahre;;18-24 Jahre;;25-29 Jahre;;30-49 Jahre;;50-64 Jahre;;65 Jahre und älter;;Insgesamt
Zeit;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%
2000;191 ;24,0 ;57 ;7,2 ;50 ;6,3 ;247 ;31,0 ;132 ;16,6 ;119 ;14,9 ;796 ;100,0 
2001;192 ;24,3 ;41 ;5,2 ;49 ;6,2 ;244 ;30,9 ;142 ;18,0 ;121 ;15,3 ;789 ;100,0 
2002;193 ;23,9 ;54 ;6,7 ;41 ;5,1 ;254 ;31,5 ;139 ;17,2 ;125 ;15,5 ;806 ;100,0 
2003;184 ;23,7 ;54 ;6,9 ;42 ;5,4 ;245 ;31,5 ;122 ;15,7 ;130 ;16,7 ;777 ;100,0 
2004;170 ;22,2 ;58 ;7,6 ;36 ;4,7 ;243 ;31,8 ;120 ;15,7 ;138 ;18,0 ;765 ;100,0 
2005;168 ;22,0 ;59 ;7,7 ;38 ;5,0 ;236 ;30,9 ;120 ;15,7 ;143 ;18,7 ;764 ;100,0 
2006;175 ;22,4 ;53 ;6,8 ;43 ;5,5 ;245 ;31,4 ;124 ;15,9 ;140 ;17,9 ;780 ;100,0 
2007;172 ;22,5 ;50 ;6,6 ;34 ;4,5 ;238 ;31,2 ;131 ;17,2 ;138 ;18,1 ;763 ;100,0 
2008;167 ;22,1 ;56 ;7,4 ;26 ;3,4 ;238 ;31,5 ;134 ;17,7 ;134 ;17,7 ;755 ;100,0 
2009;164 ;21,3 ;58 ;7,5 ;28 ;3,6 ;239 ;31,0 ;142 ;18,4 ;139 ;18,1 ;770 ;100,0 
2010;146 ;19,6 ;58 ;7,8 ;29 ;3,9 ;225 ;30,2 ;151 ;20,3 ;136 ;18,3 ;745 ;100,0 
2011;150 ;20,0 ;64 ;8,5 ;30 ;4,0 ;213 ;28,4 ;157 ;20,9 ;137 ;18,2 ;751 ;100,0 
2012;136 ;18,7 ;68 ;9,4 ;30 ;4,1 ;204 ;28,1 ;155 ;21,3 ;134 ;18,4 ;727 ;100,0 
2013;149 ;19,8 ;67 ;8,9 ;37 ;4,9 ;205 ;27,3 ;156 ;20,7 ;138 ;18,4 ;752 ;100,0 
2014;139 ;18,7 ;66 ;8,9 ;34 ;4,6 ;203 ;27,3 ;158 ;21,2 ;144 ;19,4 ;744 ;100,0 
2015;139 ;18,5 ;68 ;9,1 ;38 ;5,1 ;202 ;26,9 ;159 ;21,2 ;145 ;19,3 ;751 ;100,0 
2016;140 ;18,6 ;63 ;8,4 ;40 ;5,3 ;199 ;26,4 ;162 ;21,5 ;149 ;19,8 ;753 ;100,0 
2017;139 ;18,6 ;59 ;7,9 ;48 ;6,4 ;194 ;25,9 ;164 ;21,9 ;144 ;19,3 ;748 ;100,0 
2018;146 ;19,1 ;60 ;7,8 ;48 ;6,3 ;200 ;26,1 ;170 ;22,2 ;142 ;18,5 ;766 ;100,0 
2019;145 ;19,3 ;47 ;6,3 ;55 ;7,3 ;185 ;24,6 ;185 ;24,6 ;135 ;18,0 ;752 ;100,0 
2020;146 ;18,6 ;61 ;7,8 ;53 ;6,7 ;191 ;24,3 ;196 ;24,9 ;139 ;17,7 ;786 ;100,0 
2021;138 ;17,7 ;53 ;6,8 ;57 ;7,3 ;192 ;24,6 ;201 ;25,8 ;138 ;17,7 ;779 ;100,0 
""
Informationen zur Bevölkerungsstatistik
Grundlage sind die Fortschreibungsergebnisse auf Basis der Volkszählung 1987 (bis einschließlich 31.12.2010) und des Zensus 2011 (ab dem 31.12.2011).Die Entwicklung des Bevölkerungsstandes im Berichtsjahr 2016 ist aufgrund methodischer Änderungen in den zugrunde liegenden Bevölkerungsbewegungsstatistiken nur bedingt mit den Vorjahreswerten vergleichbar. Einschränkungen bei der Genauigkeit der Ergebnisse können aus der erhöhten Zuwanderung und den dadurch bedingten Problemen bei der melderechtlichen Erfassung schutzsuchender Personen resultieren.
Aktueller Stand dieser Statistik: 31.12. 2021.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
