Zeitreihe für Lübeck
""
Eheschließungen nach Nationalität in Lübeck
""
"";beide Partner Deutsche;;der Mann Deutscher, die Frau Ausländerin;;die Frau Deutsche, der Mann Ausländer;;beide Partner Ausländer;;Insgesamt
Zeit;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%
2000;1176 ;86,5 ;98 ;7,2 ;69 ;5,1 ;17 ;1,3 ;1360 ;100,0 
2001;1057 ;84,9 ;94 ;7,6 ;68 ;5,5 ;26 ;2,1 ;1245 ;100,0 
2002;1031 ;82,2 ;107 ;8,5 ;93 ;7,4 ;23 ;1,8 ;1254 ;100,0 
2003;945 ;81,1 ;110 ;9,4 ;96 ;8,2 ;14 ;1,2 ;1165 ;100,0 
2004;982 ;85,8 ;73 ;6,4 ;68 ;5,9 ;22 ;1,9 ;1145 ;100,0 
2005;980 ;86,6 ;79 ;7,0 ;46 ;4,1 ;27 ;2,4 ;1132 ;100,0 
2006;895 ;85,7 ;76 ;7,3 ;53 ;5,1 ;20 ;1,9 ;1044 ;100,0 
2007;945 ;88,7 ;59 ;5,5 ;49 ;4,6 ;12 ;1,1 ;1065 ;100,0 
2008;866 ;88,3 ;55 ;5,6 ;47 ;4,8 ;13 ;1,3 ;981 ;100,0 
2009;907 ;87,4 ;66 ;6,4 ;51 ;4,9 ;14 ;1,3 ;1038 ;100,0 
2010;912 ;90,3 ;54 ;5,3 ;33 ;3,3 ;11 ;1,1 ;1010 ;100,0 
2011;913 ;90,0 ;53 ;5,2 ;43 ;4,2 ;5 ;0,5 ;1014 ;100,0 
2012;918 ;91,0 ;49 ;4,9 ;36 ;3,6 ;6 ;0,6 ;1009 ;100,0 
2013;915 ;91,3 ;41 ;4,1 ;36 ;3,6 ;10 ;1,0 ;1002 ;100,0 
2014;883 ;89,0 ;52 ;5,2 ;47 ;4,7 ;10 ;1,0 ;992 ;100,0 
2015;971 ;90,7 ;41 ;3,8 ;42 ;3,9 ;17 ;1,6 ;1071 ;100,0 
2016;1026 ;90,2 ;61 ;5,4 ;45 ;4,0 ;6 ;0,5 ;1138 ;100,0 
2017;1003 ;90,6 ;45 ;4,1 ;42 ;3,8 ;17 ;1,5 ;1107 ;100,0 
2018;1119 ;90,5 ;50 ;4,0 ;51 ;4,1 ;17 ;1,4 ;1237 ;100,0 
2019;1025 ;89,7 ;66 ;5,8 ;42 ;3,7 ;10 ;0,9 ;1143 ;100,0 
2020;894 ;90,9 ;49 ;5,0 ;32 ;3,3 ;9 ;0,9 ;984 ;100,0 
2021;850 ;91,4 ;39 ;4,2 ;29 ;3,1 ;12 ;1,3 ;930 ;100,0 
2022;945 ;91,6 ;39 ;3,8 ;36 ;3,5 ;12 ;1,2 ;1032 ;100,0 
2023;873 ;90,8 ;46 ;4,8 ;32 ;3,3 ;10 ;1,0 ;961 ;100,0 
2024;888 ;90,8 ;44 ;4,5 ;32 ;3,3 ;14 ;1,4 ;978 ;100,0 
""
Informationen zu den Eheschließungen
"Eheschließungen sind alle standesamtlichen Trauungen; ausgenommen sind nur die Fälle, in denen beide Eheleute zu den im Bundesgebiet stationierten ausländischen Streitkräften bzw. zu den ausländischen diplomatischen und konsularischen Vertretungen und ihren Familienangehörigen gehören. Die regionale Zuordnung der Eheschließungen erfolgt nach dem Ort ihrer Registrierung."
Aktueller Stand dieser Statistik:  2024.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
