Zeitreihe für Segeberg
""
Betriebe im Bauhauptgewerbe nach WZ-2-Stellern im Juni in Segeberg
""
"";Hochbau;;Tiefbau;;Vorbereitende Baustellenarbeiten und sonstige spezialisierte Bautätigkeiten;;Betriebe insgesamt
Zeit;Anzahl;%;Anzahl;%;Anzahl;%;Anzahl;%
30.06.2009;75 ;30,7 ;22 ;9,0 ;147 ;60,2 ;244 ;100,0 
30.06.2010;78 ;31,2 ;27 ;10,8 ;145 ;58,0 ;250 ;100,0 
30.06.2011;76 ;31,5 ;26 ;10,8 ;139 ;57,7 ;241 ;100,0 
30.06.2012;86 ;34,3 ;22 ;8,8 ;143 ;57,0 ;251 ;100,0 
30.06.2013;88 ;36,2 ;22 ;9,1 ;133 ;54,7 ;243 ;100,0 
30.06.2014;73 ;31,6 ;32 ;13,9 ;126 ;54,5 ;231 ;100,0 
30.06.2015;72 ;29,4 ;38 ;15,5 ;135 ;55,1 ;245 ;100,0 
30.06.2016;80 ;28,5 ;43 ;15,3 ;158 ;56,2 ;281 ;100,0 
30.06.2017;75 ;27,4 ;42 ;15,3 ;157 ;57,3 ;274 ;100,0 
30.06.2018;83 ;26,4 ;47 ;15,0 ;184 ;58,6 ;314 ;100,0 
30.06.2019;83 ;23,7 ;52 ;14,9 ;215 ;61,4 ;350 ;100,0 
30.06.2020;80 ;21,9 ;59 ;16,1 ;227 ;62,0 ;366 ;100,0 
30.06.2021;79 ;21,6 ;59 ;16,1 ;228 ;62,3 ;366 ;100,0 
30.06.2022;75 ;20,4 ;64 ;17,4 ;228 ;62,1 ;367 ;100,0 
30.06.2023;65 ;18,6 ;54 ;15,5 ;230 ;65,9 ;349 ;100,0 
30.06.2024;58 ;18,2 ;52 ;16,4 ;208 ;65,4 ;318 ;100,0 
""
Informationen zur Ergänzungserhebung im Bauhauptgewerbe
Die Abgrenzung und Gliederung des Baugewerbes erfolgt nach der Klassifikation der Wirtschaftszweige, Ausgabe 2008 (WZ 2008). Erfasst und nachgewiesen werden in der jährlichen Ergänzungserhebung zum Bauhauptgewerbe örtliche Einheiten (in der Regel nicht Baustellen) mit wirtschaftlichem Schwerpunkt in folgenden Bereichen:WZ 41.2: Bau von Gebäuden  WZ 42.1: Bau von Straßen und Bahnverkehrsstrecken  WZ 42.2: Leitungstiefbau und Kläranlagenbau  WZ 42.9: Sonstiger Tiefbau  WZ 43.1: Abbrucharbeiten und vorbereitende Baustellenarbeiten  WZ 43.9: Sonstige spezialisierte Bautätigkeiten (z.B. Dachdeckerei, Zimmerei, Gerüstbau)Die Ergänzungserhebung umfasst alle schleswig-holsteinischen Baubetriebe von Unternehmen des Produzierenden Gewerbes und anderer Wirtschaftsbereiche sowie Arbeitsgemeinschaften, soweit sich deren Tätigkeit auf inländische Baustellen bezieht. Die Regionalisierung der erfassten Merkmale erfolgt nach dem Sitz der Betriebe.Tätige Personen:Tätige Inhaber:innen und tätige Mitinhaber:innen (eingeschlossen sind unbezahlt mithelfende Familienangehörige) sowie alle in einem arbeitsrechtlichen Verhältnis zum Betrieb stehenden Personen soweit sie nicht überwiegend in anderen Bereichen des Betriebes wie Handel oder Dienstleistung beschäftigt sind.Zu den Angestellten rechnen auch Gesellschafter:innen, Vorstandsmitglieder:innen, Geschäftsführer:innen und andere leitende Kräfte eines Unternehmens (GmbH und sonstige Rechtsformen), nicht jedoch die angestelltenversicherungspflichtigen Polier:innen, Schachtmeister:innen und Meister:innen.Umsatz (ohne Umsatzsteuer):Die dem Finanzamt für die Umsatzsteuer zu meldenden steuerbaren (steuerpflichtigen und steuerfreien) Beträge für die im Bundesgebiet getätigten Leistungen, einschließlich Umsatz aus Nachunternehmertätigkeit und der Vergabe von Teilleistungen an Nachunternehmer. Hierzu zählen auch Anzahlungen für Teilleistungen oder Vorauszahlungen vor Ausführung der entsprechenden Lieferungen oder Leistungen, die gem. § 13 UStG zu versteuern sind.Neben dem baugewerblichen Umsatz (Umsatz aus Bauleistungen) enthält der Gesamtumsatz sonstige Umsätze, die in der eigenen Bauleistung nicht abgerechnet wurden. Hierbei handelt es sich vorwiegend um Umsätze aus Handelsware, Umsätze aus sonstigen eigenen Erzeugnissen (Baustoffen, Betonwaren u. Ä.), Umsätze aus Lohnarbeiten für Dritte, Dienstleistungen, Vermietung und Verpachtung.Der Vorjahresumsatz bezieht sich auf die im Erhebungsjahr auskunftspflichtigen Berichtskreise und ist wegen der zwischenzeitlichen Fluktuation nur bedingt als Vorjahresumsatz des gesamten Bauhauptgewerbes anzusehen.
Aktueller Stand dieser Statistik:  30.06.2024.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2026
