Tabelle: 13111-006z
Sozialversicherungspflichtig Beschäftigte: Gemeinden,;;;;;;
Beschäftigte am Arbeitsort/Beschäftigte am Wohnort,;;;;;;
Wirtschaftsbereiche, Stichtag;;;;;;
Beschäftigungsstatistik;;;;;;
Sozialversicherungspfl. Beschäftigte am Arbeitsort (Anzahl);;;;;;
Gemeinden (einschl. gemeindefreie Gebiete): Sonderhofen;;;;;;
;Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008);Wirtschaftsbereiche (WZ 2008)
;Insgesamt;A Land- und Forstwirtschaft, Fischerei;B-F Produzierendes Gewerbe;G-I Handel, Verkehr, Gastgewerbe;J-N Unternehmensdienstleister;O-U öffentliche und private Dienstleister
30.06.2014;87;.;37;35;6;.
30.06.2015;89;.;36;38;7;.
30.06.2016;74;.;30;31;.;.
30.06.2017;71;.;30;29;.;.
30.06.2018;64;-;24;28;.;.
30.06.2019;70;-;18;28;.;.
30.06.2020;90;-;18;45;.;.
30.06.2021;110;.;19;57;.;.
30.06.2022;118;.;16;69;.;.
30.06.2023;119;-;18;68;.;.
30.06.2024;123;-;15;69;.;.
__________
"Quelle: Bundesagentur für Arbeit
 
Ab 2008: Revidierte Werte
 
 
 
Allgemeiner Hinweis zur Beschäftigungsstatistik:
-----------------------------------------------
Bei den Summen für 'Beschäftigte insgesamt', 'Beschäftigte
nach Geschlecht', 'Beschäftigte nach Altersgruppen',
'Beschäftigte nach Ausbildung' und 'Beschäftigte nach
Beschäftigungsumfang' sind die Fälle 'keine Angabe'
enthalten.
Bei den Summen für 'Beschäftigte nach Wirtschaftsbereichen'
sind die Fälle 'ohne Angabe des Wirtschaftszweiges' mit
enthalten."
"Quelle: Bundesagentur für Arbeit
 
Ab 2008: Revidierte Werte
 
 
 
Allgemeiner Hinweis zur Beschäftigungsstatistik:
-----------------------------------------------
Bei den Summen für 'Beschäftigte insgesamt', 'Beschäftigte
nach Geschlecht', 'Beschäftigte nach Altersgruppen',
'Beschäftigte nach Ausbildung' und 'Beschäftigte nach
Beschäftigungsumfang' sind die Fälle 'keine Angabe'
enthalten."
"Hinweis zur Revision 2023 der Bundesagentur für Arbeit: 
Die Bundesagentur für Arbeit hat im Dezember 2023 die
Arbeitsortdaten für den Zeitraum ab Januar 2018 und die
Wohnortdaten ab Januar 2013 revidiert. Die Revision wurde
hier noch nicht vollzogen. Daher kommt es zu geringfügigen
Abweichungen zu Ergebnissen in Veröffentlichungen der
Bundesagentur für Arbeit."
© Bayerisches Landesamt für Statistik, Fürth 2026
Stand: 29.01.2026 / 11:13:07
