Hauptprobenummer,Bezeichnung,Probe_Entnahmeart,Probenahme_Beginn_Datum,Probenahme_Beginn_Zeit,Probenahme_Ende_Datum,Probenahme_Ende_Zeit,Umweltbereich,Messprogrammgruppe,Entnahmestelle,Herkunftsstaat,Methode,Pruefmerkmal,Ergebnis,Einheit
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cäsium-134 Cs-134,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cäsium-137 Cs-137,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Iod-131 I-131,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Kalium-40 K-40,"8,39E-02",Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Beryllium-7 Be-7,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Cobalt-60 Co-60,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Radium-226 Ra-226,n.n.,Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Radium-228 Ra-228,"4,77E-03",Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Thorium-228 Th-228,"1,30E-03",Bq/l
201500428,Reinwasser,Einzelprobe,24.11.2015,11:00,24.11.2015,11:00,Reinwasser aus geschützten Rohwasservorkommen,IMIS Routinemessprogramm,WW Curslack Nord,Deutschland,Gammaspektrometrie (flüssig),Uran-235 U-235,n.n.,Bq/l
