FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3448,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-01-29T00:00:00,2025-01-30T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3443,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-01-30T00:00:00,2025-01-31T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3441,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-01-31T00:00:00,2025-02-01T00:00:00,0.093,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-343f,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-01T00:00:00,2025-02-02T00:00:00,0.094,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-343d,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-02T00:00:00,2025-02-03T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-343c,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-03T00:00:00,2025-02-04T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3439,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-04T00:00:00,2025-02-05T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3438,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-05T00:00:00,2025-02-06T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3436,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-06T00:00:00,2025-02-07T00:00:00,0.093,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3434,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-07T00:00:00,2025-02-08T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3433,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-08T00:00:00,2025-02-09T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3430,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-09T00:00:00,2025-02-10T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-342f,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-10T00:00:00,2025-02-11T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-342e,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-11T00:00:00,2025-02-12T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-342b,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-12T00:00:00,2025-02-13T00:00:00,0.103,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-342a,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-13T00:00:00,2025-02-14T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3427,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-14T00:00:00,2025-02-15T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3426,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-15T00:00:00,2025-02-16T00:00:00,0.094,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3423,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-16T00:00:00,2025-02-17T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3422,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-17T00:00:00,2025-02-18T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3420,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-18T00:00:00,2025-02-19T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-341e,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-19T00:00:00,2025-02-20T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
