Datum,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh_ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Zeit_im_Besuch,Bounce_Rate,Bounce_Zeit,Unnamed__11
,458062,299842,0.13%,0.12%,1.66,886231,1.93,00:01:17,63.80%,00:00:39,
31.12.2021,7556,5818,0.03%,0.03%,1.00,12251,1.62,00:00:51,70.84%,00:00:25,
30.12.2021,10114,8366,0.19%,0.19%,1.19,17656,1.75,00:01:00,68.88%,00:00:33,
29.12.2021,11699,9640,0.15%,0.16%,1.20,20553,1.76,00:01:02,67.77%,00:00:38,
28.12.2021,13437,10739,0.17%,0.19%,1.15,24959,1.86,00:01:05,64.99%,00:00:36,
27.12.2021,13815,10830,0.14%,0.18%,1.05,25675,1.86,00:01:09,64.80%,00:00:37,
26.12.2021,8746,7144,0.01%,0.01%,1.00,15841,1.81,00:01:37,67.22%,00:00:32,
25.12.2021,7630,6106,0.03%,0.02%,2.00,13216,1.73,00:01:41,70.00%,00:00:28,
24.12.2021,7912,6239,0.01%,0.02%,1.00,13932,1.76,00:01:30,67.29%,00:00:28,
23.12.2021,12185,10218,0.13%,0.16%,1.00,22548,1.85,00:01:15,63.95%,00:00:42,
22.12.2021,17186,13758,0.14%,0.16%,1.09,33616,1.96,00:01:36,61.37%,00:00:45,
21.12.2021,16329,13270,0.20%,0.23%,1.10,32524,1.99,00:01:29,61.02%,00:00:42,
20.12.2021,15379,11979,0.21%,0.26%,1.03,30013,1.95,00:01:24,63.80%,00:00:44,
19.12.2021,11568,9405,0.04%,0.05%,1.00,21196,1.83,00:01:04,65.60%,00:00:34,
18.12.2021,10322,8689,0.00%,0.00%,-,18123,1.76,00:00:58,67.74%,00:00:34,
17.12.2021,13590,11207,0.14%,0.16%,1.06,25724,1.89,00:01:09,64.04%,00:00:43,
16.12.2021,16098,12781,0.47%,0.52%,1.15,31931,1.98,00:01:19,62.16%,00:00:44,
15.12.2021,20069,15251,0.24%,0.29%,1.11,41652,2.08,00:01:15,59.27%,00:00:42,
14.12.2021,19919,15086,0.16%,0.19%,1.11,41554,2.09,00:01:18,59.51%,00:00:40,
13.12.2021,18734,14436,0.12%,0.15%,1.10,38823,2.07,00:01:18,60.06%,00:00:43,
12.12.2021,12525,10068,0.00%,0.00%,-,22924,1.83,00:00:59,65.94%,00:00:36,
11.12.2021,11817,9697,0.01%,0.01%,1.00,20970,1.77,00:00:55,67.45%,00:00:34,
10.12.2021,17509,14024,0.08%,0.10%,1.00,33147,1.89,00:01:14,64.07%,00:00:48,
09.12.2021,19049,14852,0.19%,0.23%,1.06,42071,2.21,00:01:16,63.20%,00:00:40,
08.12.2021,17251,13725,0.17%,0.22%,1.00,33472,1.94,00:01:13,63.70%,00:00:43,
07.12.2021,17604,13453,0.19%,0.24%,1.03,35826,2.04,00:01:20,62.28%,00:00:40,
06.12.2021,17859,13891,0.10%,0.11%,1.13,36273,2.03,00:01:25,61.55%,00:00:42,
05.12.2021,13671,10681,0.03%,0.04%,1.00,26087,1.91,00:01:35,64.57%,00:00:32,
04.12.2021,12988,10441,0.00%,0.00%,-,24497,1.89,00:01:32,65.52%,00:00:34,
03.12.2021,18999,15007,0.11%,0.13%,1.05,37215,1.96,00:01:17,62.75%,00:00:41,
02.12.2021,21549,16696,0.11%,0.13%,1.09,41969,1.95,00:01:19,63.75%,00:00:43,
01.12.2021,25175,19197,0.05%,0.07%,1.00,49993,1.99,00:01:19,63.79%,00:00:33,
