Datum,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh__ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Zeit_im_Besuch,Bounce_Rate,Bounce_Zeit,Conversions__Last_Ad_,Conversion_Wert__Last_Ad_,Conversion_Rate__Last_Ad_,Unnamed__14
,82009,67937,0.13%,0.15%,1.04,210213,2.56,00:01:23,60.45%,00:00:57,0.0,0.0,0.00%,
30.09.2024,3183,2642,0.06%,0.04%,2.00,9993,3.14,00:01:28,48.32%,00:00:55,0.0,0.0,0.00%,
29.09.2024,1545,1361,0.00%,0.00%,-,4333,2.8,00:01:04,54.47%,00:00:42,0.0,0.0,0.00%,
28.09.2024,1495,1301,0.00%,0.00%,-,4829,3.23,00:00:58,53.99%,00:00:44,0.0,0.0,0.00%,
27.09.2024,2790,2408,0.00%,0.00%,-,8590,3.08,00:01:15,50.65%,00:00:43,0.0,0.0,0.00%,
26.09.2024,3400,2831,0.00%,0.00%,-,11978,3.52,00:01:19,47.65%,00:00:37,0.0,0.0,0.00%,
25.09.2024,3587,3008,0.00%,0.00%,-,13527,3.77,00:01:26,46.50%,00:00:37,0.0,0.0,0.00%,
24.09.2024,3718,3083,0.03%,0.03%,1.00,17430,4.69,00:01:26,44.38%,00:00:36,0.0,0.0,0.00%,
23.09.2024,4149,3358,0.00%,0.00%,-,15817,3.81,00:01:27,45.76%,00:00:37,0.0,0.0,0.00%,
22.09.2024,1829,1591,0.05%,0.06%,1.00,3461,1.89,00:00:57,70.33%,00:00:39,0.0,0.0,0.00%,
21.09.2024,1477,1320,0.07%,0.08%,1.00,2745,1.86,00:00:56,70.26%,00:00:38,0.0,0.0,0.00%,
20.09.2024,2389,2043,0.04%,0.05%,1.00,4835,2.02,00:01:19,67.03%,00:01:11,0.0,0.0,0.00%,
19.09.2024,2924,2425,0.00%,0.00%,-,6226,2.13,00:01:26,63.80%,00:01:04,0.0,0.0,0.00%,
18.09.2024,3048,2553,0.07%,0.08%,1.00,6724,2.21,00:01:33,63.62%,00:01:18,0.0,0.0,0.00%,
17.09.2024,3195,2593,0.13%,0.15%,1.00,7802,2.44,00:01:26,63.21%,00:01:08,0.0,0.0,0.00%,
16.09.2024,3309,2721,0.18%,0.22%,1.00,7352,2.22,00:01:34,63.38%,00:00:58,0.0,0.0,0.00%,
15.09.2024,1870,1585,0.32%,0.38%,1.00,3472,1.86,00:00:57,70.09%,00:00:43,0.0,0.0,0.00%,
14.09.2024,1703,1453,0.35%,0.41%,1.00,2871,1.69,00:00:54,72.52%,00:00:40,0.0,0.0,0.00%,
13.09.2024,2513,2096,0.24%,0.29%,1.00,4911,1.95,00:01:22,67.45%,00:01:00,0.0,0.0,0.00%,
12.09.2024,3120,2562,0.16%,0.20%,1.00,6749,2.16,00:01:37,64.19%,00:01:07,0.0,0.0,0.00%,
11.09.2024,3258,2636,0.18%,0.23%,1.00,8206,2.52,00:01:44,62.91%,00:01:20,0.0,0.0,0.00%,
10.09.2024,3331,2731,0.18%,0.22%,1.00,7348,2.21,00:01:30,62.86%,00:01:04,0.0,0.0,0.00%,
09.09.2024,3461,2723,0.20%,0.26%,1.00,7548,2.18,00:01:31,62.84%,00:01:11,0.0,0.0,0.00%,
08.09.2024,1793,1559,0.33%,0.38%,1.00,3333,1.86,00:00:59,69.72%,00:00:37,0.0,0.0,0.00%,
07.09.2024,1463,1286,0.41%,0.47%,1.00,2672,1.83,00:01:02,71.46%,00:00:39,0.0,0.0,0.00%,
06.09.2024,2484,2118,0.12%,0.14%,1.00,4880,1.96,00:01:11,66.45%,00:00:57,0.0,0.0,0.00%,
05.09.2024,3100,2599,0.16%,0.19%,1.00,6913,2.23,00:01:30,64.87%,00:01:09,0.0,0.0,0.00%,
04.09.2024,3093,2623,0.19%,0.23%,1.00,6881,2.22,00:01:29,64.29%,00:01:04,0.0,0.0,0.00%,
03.09.2024,3370,2794,0.18%,0.21%,1.00,7505,2.23,00:01:33,65.29%,00:01:08,0.0,0.0,0.00%,
02.09.2024,3521,2918,0.14%,0.17%,1.00,7637,2.17,00:01:38,63.14%,00:01:13,0.0,0.0,0.00%,
01.09.2024,1928,1704,0.31%,0.35%,1.00,3645,1.89,00:01:02,71.89%,00:00:49,0.0,0.0,0.00%,
