Tabelle: 21111-101z
Allgemein bildende Schulen: Gemeinde, Schulen, Lehrkräfte,;;;;;
Klassen, Schüler, Unterrichtswochenstunden, Art der;;;;;
allgemein bildenden Schule, Schuljahre (ab 2003/04);;;;;
Statistik der allgemein bildenden Schulen;;;;;
Art der allgemein bildenden Schulen 1): Grund- sowie Mittel-/Hauptschulen;;;;;
Ringelai;;;;;
;Schulen;Voll- und teilzeitbeschäftigte Lehrkräfte;Klassen;Schüler;Unterrichtswochenstunden
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2014/15;1;4;4;62;99
2015/16;1;4;4;61;99
2016/17;1;3;3;60;88
2017/18;1;3;3;60;93
2018/19;1;4;3;62;99
2019/20;1;2;3;54;95
2020/21;1;3;3;60;88
2021/22;1;3;3;55;87
2022/23;1;4;3;56;84
2023/24;1;5;3;57;83
2024/25;1;3;2;48;69
__________
"Ab Schuljahr 2022/23:
Ohne sonstige allgemein bildende Schulen.

Schuljahr 2021/22:
Bei der Schulart Mittel-/Hauptschule konnten aus technischen Gründen keine Nichtschüler mit qualifizierendem Abschluss der Mittelschule übermittelt werden.

Schuljahr 2016/17 und 2017/18:
Aus technischen Gründen können sich bei der Summierung der Lehrkräfte geringfügige Abweichungen zu anderen
Veröffentlichungen ergeben.
 
Schuljahr 2017/18:
Aufgrund einer Systemumstellung sind bei den integrierten Gesamtschulen keine Daten über Abgänger, Absolventen,
 Nichtschüler und Übergänge verfügbar. Daher werden die entsprechenden Daten des Schuljahres 2016/17 ausgewiesen.
Bei der Schulart Mittel-/Hauptschule können keine Nichtschüler ausgewiesen werden.
 
Schuljahr 2015/16:
Bei den Schularten Gymnasien, Realschulen und Realschulen zur sonderpädagogischen Förderung können keine
Nichtschüler ausgewiesen werden.
 
Schuljahr 2014/15:
Aufgrund einer Systemumstellung sind bei den Schularten Gymnasien, Realschulen, Realschulen zur
sonderpädagogischen Förderung und den Abendrealschulen, die Abgänger- und Absolventendaten, Nichtschüler und
Übergänge nicht gesichert genug. Daher werden die entsprechenden Daten des Schuljahres 2013/14 ausgewiesen.
 
Hinweis zu den 'Insgesamt'-Positionen:
Die Merkmalsausprägung 'Allgemein bildende Schulen insgesamt (ohne Wirtschaftsschulen)' umfasst alle Schularten, die in Bayern zu den allgemein bildenden Schulen gehören.
 
Die Merkmalsausprägung 'Allgemein bildende Schulen insgesamt (mit Wirtschaftsschulen)' enthält für landesinterne Vergleichszwecke neben den allgemein bildenden Schulen zusätzlich auch die, nur in Bayern bestehenden, aber nicht zu den allgemein bildenden Schulen zählenden, 'Wirtschaftsschulen'.

Die Merkmalsausprägung 'Allgemein bildende Schulen insgesamt (ohne Sonstige, einschließlich Wirtschaftsschulen)' dient regionalstatistischen Vergleichszwecken mit anderen Ländern. Sie enthält mit Rücksicht auf die bundeseinheitlichen Ausweisungen die dafür vereinbarte Abgrenzung.
 
Hinweis zu den Merkmalen Absolventen/Abgänger, Nichtschüler
und Übergänge:
Für diese Merkmale beschreibt die Zeitangabe ab 2002/03 jeweils das Berichtsjahr und nicht das Schuljahr. Das
heißt, die für diese Merkmale ausgewiesenen Daten beziehen sich seitdem nicht auf das genannten Schuljahr (= Berichtsjahr) sondern auf das jeweils vorangegangene abgelaufene Schuljahr.
 
Hinweis zum Merkmal Unterrichtsstunden:
Im Allgemeinen ist ohne Rücksicht auf die Endsummen auf Schulebene auf- bzw. abgerundet worden. Deshalb können sich bei der Summierung geringfügige Abweichungen zu den in anderen Veröffentlichungen ausgewiesenen Endsummen ergeben."
"1) Hinweis zu den ""Insgesamt""-Positionen:
Die Merkmalsausprägung ""Allgemein bildende Schulen insgesamt
(ohne Wirtschaftsschulen)"" umfasst alle Schularten, die in
Bayern zu den allgemein bildenden Schulen gehören.
 
Die Merkmalsausprägung ""Allgemein bildende Schulen insgesamt
(mit Wirtschaftsschulen)"" enthält für landesinterne
Vergleichszwecke neben den allgemein bildenden Schulen
zusätzlich auch die, nur in Bayern bestehenden, aber nicht
zu den allgemein bildenden Schulen zählenden,
""Wirtschaftsschulen"".
 
Die Merkmalsausprägung ""Allgemein bildende Schulen insgesamt
(ohne Sonstige, einschließlich Wirtschaftsschulen)"" dient
regionalstatistischen Vergleichszwecken mit anderen Ländern.
Sie enthält mit Rücksicht auf die bundeseinheitlichen
Ausweisungen die dafür vereinbarte Abgrenzung."
© Bayerisches Landesamt für Statistik, Fürth 2026
Stand: 29.01.2026 / 11:13:46
