Tabelle: 45511-022z
Tourismus: Gemeinde, Ankünfte, Übernachtungen,;;;;;;
Herkunft der Gäste, Jahre;;;;;;
Monatserhebung im Tourismus;;;;;;
Wiesentheid, M;;;;;;
;Herkunft der Gäste;Herkunft der Gäste;Herkunft der Gäste;Herkunft der Gäste;Herkunft der Gäste;Herkunft der Gäste
;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;Gästeankünfte in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeankünfte in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben;Gästeankünfte in Beherbergungsbetrieben;Gästeübernachtungen in Beherbergungsbetrieben
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2014;.;.;.;.;.;.
2015;.;.;.;.;.;.
2016;.;.;.;.;.;.
2017;.;.;.;.;.;.
2018;1876;3183;1422;2347;454;836
2019;1938;3138;1445;2028;493;1110
2020;.;.;.;.;.;.
2021;.;.;.;.;.;.
2022;.;.;.;.;.;.
2023;.;.;.;.;.;.
2024;.;.;.;.;.;.
__________
"Abgrenzung des Berichtskreises:
- bis einschließlich Berichtsjahr 2005:
  Beherbergungsbetriebe mit neun oder mehr Gästebetten
  (Beherbergungsstätten)
- ab Berichtsjahr 2006 bis einschließlich 2011:
  Beherbergungsbetriebe mit neun oder mehr Gästebetten
  (Beherbergungsstätten) sowie Campingplätze mit drei oder
  mehr Stellplätzen
- ab Berichtsjahr 2012: Beherbergungsbetriebe mit zehn oder
  mehr Gästebetten (Beherbergungsstätten) sowie
  Campingplätze mit zehn oder mehr Stellplätzen"
"Jahresergebnis ist endgültiges Ergebnis. Nach
Veröffentlichung der Dezember-Ergebnisse werden keine
Rückkorrekturen mehr vorgenommen."
© Bayerisches Landesamt für Statistik, Fürth 2026
Stand: 29.01.2026 / 11:12:10
