statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;16;Anzahl;HBLEHR;Voll- und teilzeitbeschäftigte Lehrkräfte
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;285;Anzahl;UWOSTD;Unterrichtswochenstunden
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;179;Anzahl;SCHUEL;Schüler
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;9;Anzahl;KLASSE;Klassen
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2015-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;2;Anzahl;SCHULE;Schulen
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;13;Anzahl;HBLEHR;Voll- und teilzeitbeschäftigte Lehrkräfte
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;318;Anzahl;UWOSTD;Unterrichtswochenstunden
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;193;Anzahl;SCHUEL;Schüler
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;11;Anzahl;KLASSE;Klassen
21111;Statistik der allgemeinbildenden Schulen;SLJAHR;Schuljahr;2018-P1Y;GEMEIN;Gemeinden (einschl. gemeindefreie Gebiete);09678181;Stadtlauringen, M;ALLSCH;Art der allgemein bildenden Schulen;SCHULE-VOLK;Grund- sowie Mittel-/Hauptschulen;2;Anzahl;SCHULE;Schulen
