typ,Ortsteil,Einzugsdatum,Registrierungssdatum,Alter,Geschlecht,Staat,Gebiet,Unterkunftsart,Wohndauer
Z,52,11.03.2022,14.04.2022,83,1,000,166,Privat,
Z,31,07.03.2022,08.03.2022,82,2,166,166,Privat,
Z,74,13.04.2022,26.04.2022,77,1,166,166,Privat,
Z,74,13.04.2022,26.04.2022,76,2,166,166,Privat,
Z,52,11.03.2022,14.04.2022,73,2,166,166,Privat,
Z,51,08.03.2022,10.03.2022,73,2,166,166,Privat,
Z,11,11.03.2022,11.03.2022,72,2,166,166,Privat,
Z,11,11.03.2022,11.03.2022,71,1,166,166,Privat,
Z,73,01.10.2022,10.10.2022,53,2,166,015,Privat,
Z,22,08.03.2022,25.03.2022,49,1,166,166,Privat,
Z,90,15.07.2022,26.07.2022,40,2,166,005,Privat,
Z,13,04.03.2022,07.03.2022,39,1,166,166,Privat,
Z,34,08.03.2022,11.03.2022,36,2,166,166,Privat,
Z,71,11.06.2022,06.07.2022,36,2,166,001,Privat,
Z,06,01.06.2022,20.06.2022,29,2,166,014,Privat,
Z,95,07.03.2022,25.03.2022,30,1,445,166,Privat,
Z,01,01.03.2022,31.03.2022,41,2,166,166,Privat,
Z,64,04.03.2022,07.03.2022,39,2,166,166,Privat,
Z,64,04.03.2022,07.03.2022,15,2,166,166,Privat,
Z,62,16.03.2022,05.04.2022,77,2,166,166,Privat,
Z,50,21.03.2022,08.04.2022,32,1,000,166,Privat,
Z,30,01.04.2022,19.04.2022,34,2,166,166,Privat,
Z,33,15.05.2022,24.05.2022,33,2,166,166,Privat,
Z,30,08.03.2022,24.03.2022,64,1,160,166,Privat,
Z,70,18.03.2022,31.03.2022,31,2,166,166,Privat,
Z,80,15.05.2022,19.05.2022,35,1,166,146,Privat,
Z,20,03.03.2022,09.03.2022,45,2,166,166,Privat,
Z,20,03.03.2022,09.03.2022,15,2,166,166,Privat,
Z,12,01.08.2022,11.08.2022,29,1,166,014,Privat,
Z,71,13.08.2022,13.08.2022,44,1,000,166,Privat,
Z,93,01.05.2022,10.05.2022,35,2,166,166,Privat,
Z,93,01.05.2022,10.05.2022,8,2,166,166,Privat,
