Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
41064,Sachgesamtheit,Kreis Stormarn,"Ahrensburg, Stadt","Am Alten Markt 1, 5, Am Alten Markt",Schlosskirche,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Schlosskirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Granit-Böschungsmauern (Am Alten Markt); Gottesbuden (Nordtrakt) (Am Alten Markt 1), Gottesbuden (Südtrakt) (Am Alten Markt 5)",
42510,Mehrheit von baulichen Anlagen,Kreis Stormarn,"Ahrensburg, Stadt","Am Alten Markt 4a, 6","Wohnbauten Am Alten Markt 4a, 6","Wohnbauten Am Alten Markt 4a, 6; um 1880, 1907; Wohnhaus mit ehem. Druckerei, ehem. Organistenhaus, Bauten des Historismus und Jugendstil in der Flucht der brocken Straßenführung und als Raumkante gegenüber der Schlosskirche","Geschichtlich, Städtebaulich","Wohnhaus mit ehem. Druckerei (Am Alten Markt 4a), ehem. Organistenhaus (Am Alten Markt 6)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/42510.jpg
441,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 1,Gottesbuden (Nordtrakt),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/441.jpg
27759,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 5,Gottesbuden (Südtrakt),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27759.jpg
23745,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 9,Pastorat / Gemeindehaus,"Pastorat und Gemeindebau; 1927, Architekten Henry Grell und Peter Pruter; giebelständiger Saalbau unter Satteldach, mit eingeschossigem flach gedecktem Vorbau über L-förmigen Grundriss verschränkt mit zweigeschossigem, traufständigem Wohnhaus unter Walmdach, Klinkerbauweise; Baudekor; Garten","Geschichtlich, Künstlerisch, Städtebaulich","Pastorat / Gemeindehaus, Pastoratsgarten",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/23745.jpg
27975,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt 10,Wohnhaus,"Wohnhaus; wohl von 1762, Johann Gottfried Rosenberg als Architekten zugeschrieben; eingeschossiger, traufständiger, langgestreckter Backsteinbau unter Halbwalmdach in Hartdeckung; Segmentbogengliederung, zwei Eingangstüren","Geschichtlich, Städtebaulich","Wohnhaus, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27975.jpg
451,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Alten Markt,Schlosskirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/451.jpg
54703,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Am Bocksberg 1,Herrenhaus Lindenhof,"Herrenhaus; 1906, 1919 erweitert, Architekt Erich Elingius; zweigeschossiger, traufständiger, langgezogener Putzbau, flachgeneigtes Satteldach, außermittiger Risalit, Holzveranda; Parkanlage, Stützmauer","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Herrenhaus Lindenhof, Parkanlage, Stützmauer",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54703.jpg
439,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bei der Alten Kate 4,Alte Kate,Alteintragung (Aktualisierung vorgesehen),Geschichtlich,gesamtes Objekt,
440,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bei der Alten Kate 6,Kate,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,
27978,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Beimoorweg 47,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude, ehem. Gasthaus und Hengststation; um 1850, Bauherren Grafen von Schimmelmann; eingeschossiger, giebelständiger Fachwerkbau mit Backsteinausfachung auf Feldsteinsockel unter Halbwalmdach in Reetdeckung, Windfang","Geschichtlich, Kulturlandschaftlich","Wohn- und Wirtschaftsgebäude, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27978.jpg
8135,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Bornkampsweg 35,Wulfsdorferhof: Gutshaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8135.jpg
24701,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hagener Allee 74,Villa,"Villa; 1906; eingeschossiger verputzter Massivbau mit hartgedecktem Halbwalmdach, vorder- wie rückseitig zweigeschossiger Seitenrisalit, verdachter Balkon mit Zierschnitzwerk, mit Nebengebäude und Einfriedung","Geschichtlich, Städtebaulich","Villa, Nebengebäude, Einfriedung",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/24701.jpg
7297,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hamburger Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
2673,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Hugo-Schilling-Weg 2,Villa,"Villa; 1902; zweigeschossiger, stark gegliederter Putzbau unter verschiedenen Dachformen in Hartdeckung, Eckturm mit geschwungener Haube, Risalite, Windfang, Veranda, Terrasse; Schmuckfachwerk, Baudekor, Bleiverglasung","Geschichtlich, Künstlerisch","Villa, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2673.jpg
27033,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Kleiner Gänsebarg,Ehrenmal für die Gefallenen des Ersten Weltkrieges,"Ehrenmal; 1922, nach 1950 umgewidmet für die Opfer beider Weltkriege; kreisrunde Anlage mit bis auf zwei Durchgänge umlaufender Mauer und hohem Obelisken, gmauert aus kleinen Findlingen und Feldsteinen, Gußbetontafel mit Stahlhelm und Lorbeerzweigen am unteren Schaft des Obelisken","Geschichtlich, Künstlerisch, Städtebaulich","Ehrenmal für die Gefallenen des Ersten Weltkrieges, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27033.jpg
2011,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 6,Verwalterhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2011.jpg
1448,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 8 - 10,Marstall,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1448.jpg
1863,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße 8,Reithalle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
463,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Schloss Ahrensburg,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/463.jpg
1225,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Schlossbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1225.jpg
7296,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
13611,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Lübecker Straße,Sammlungsbestand,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
26979,Bauliche Anlage,Kreis Stormarn,"Ahrensburg, Stadt",Manfred-Samusch-Straße 5,Rathaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26979.jpg
