spalte,dtype,anzahl_auspraegungen,fehlend_anzahl,fehlend_anteil
Hauptprobenummer,int64,1,0,0.0
Bezeichnung,object,1,0,0.0
Probe_Entnahmeart,object,1,0,0.0
Probenahme_Beginn_Datum,object,1,0,0.0
Probenahme_Beginn_Zeit,object,1,0,0.0
Probenahme_Ende_Datum,object,1,0,0.0
Probenahme_Ende_Zeit,object,1,0,0.0
Umweltbereich,object,1,0,0.0
Messprogrammgruppe,object,1,0,0.0
Entnahmestelle,object,1,0,0.0
Herkunftsstaat,object,1,0,0.0
Methode,object,8,0,0.0
Pruefmerkmal,object,104,0,0.0
Ergebnis,object,41,0,0.0
Einheit,object,8,1,0.0096
Einheit_clean,object,9,0,0.0
Ergebnis_num,float64,39,38,0.3654
