,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh__ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Bounce_Rate,Conversions__Last_Ad_,Conversion_Wert__Last_Ad_,Conversion_Rate__Last_Ad_,Zeit_im_Besuch_Sek,Bounce_Zeit_Sek
Besuche,1.0,0.9978450397856263,-0.34348954207503857,-0.32415178895497404,0.14200285596359372,0.8276622192632258,0.5057063402041783,-0.5515639014007914,,,,0.881350705770736,0.4036711411895789
Besucher,0.9978450397856263,1.0,-0.36206588189377636,-0.3447640308178802,0.14687860343410197,0.8359320282947578,0.5196493833195757,-0.5648891023454164,,,,0.8741654133264516,0.3866279602813968
Anteil_Besuche_mit_Cookies,-0.34348954207503857,-0.36206588189377636,1.0,0.9976184057567832,-0.2413887223560346,-0.5256673001800253,-0.6370753817012952,0.7126078604699677,,,,-0.22832181696586548,0.057895893371647175
Anteil_Besucher_mit_Cookies,-0.32415178895497404,-0.3447640308178802,0.9976184057567832,1.0,-0.2951124573833403,-0.5239836462692786,-0.6460964328637796,0.7202655023007639,,,,-0.2016725897251904,0.08734991318676502
Besuchsh__ufigkeit,0.14200285596359372,0.14687860343410197,-0.2413887223560346,-0.2951124573833403,1.0,0.25054994969885286,0.3206508168879235,-0.5354554935267933,,,,0.10908409864178163,-0.038639981479169715
Seitenaufrufe,0.8276622192632258,0.8359320282947578,-0.5256673001800253,-0.5239836462692786,0.25054994969885286,1.0,0.8842749855651165,-0.8558965582557707,,,,0.5677749163653272,-0.0838521063102208
Seiten_pro_Besuch,0.5057063402041783,0.5196493833195757,-0.6370753817012952,-0.6460964328637796,0.3206508168879235,0.8842749855651165,1.0,-0.9547236333657224,,,,0.24633041151837148,-0.35607290355552523
Bounce_Rate,-0.5515639014007914,-0.5648891023454164,0.7126078604699677,0.7202655023007639,-0.5354554935267933,-0.8558965582557707,-0.9547236333657224,1.0,,,,-0.32124130422849406,0.2709497915301283
Conversions__Last_Ad_,,,,,,,,,,,,,
Conversion_Wert__Last_Ad_,,,,,,,,,,,,,
Conversion_Rate__Last_Ad_,,,,,,,,,,,,,
Zeit_im_Besuch_Sek,0.881350705770736,0.8741654133264516,-0.22832181696586548,-0.2016725897251904,0.10908409864178163,0.5677749163653272,0.24633041151837148,-0.32124130422849406,,,,1.0,0.7183368707664296
Bounce_Zeit_Sek,0.4036711411895789,0.3866279602813968,0.057895893371647175,0.08734991318676502,-0.038639981479169715,-0.0838521063102208,-0.35607290355552523,0.2709497915301283,,,,0.7183368707664296,1.0
