vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,7,6,6,8,6,6
0,gpt-4o,9,8,7,9,8,8
0,google/gemini-3-flash-preview,7,10,8,9,9,8
0,x-ai/grok-4.1-fast,10,8,9,10,10,8
0,anthropic/claude-sonnet-4.5,1,8,3,9,8,7
1,gpt-5,3,3,3,8,4,6
1,gpt-4o,9,8,7,9,8,8
1,google/gemini-3-flash-preview,10,9,10,10,10,9
1,x-ai/grok-4.1-fast,3,5,6,10,8,9
1,anthropic/claude-sonnet-4.5,3,6,4,8,7,7
2,gpt-5,3,5,5,7,7,6
2,gpt-4o,8,7,6,7,8,8
2,google/gemini-3-flash-preview,4,9,6,10,8,9
2,x-ai/grok-4.1-fast,9,6,5,8,10,9
2,anthropic/claude-sonnet-4.5,1,7,3,4,6,7
