column,type,total_n,missing_n,missing_pct,distinct_n
statistics_code,numeric,65,0,0,1
statistics_label,character,65,0,0,1
time_code,character,65,0,0,1
time_label,character,65,0,0,1
time,numeric,65,0,0,11
1_variable_code,character,65,0,0,1
1_variable_label,character,65,0,0,1
1_variable_attribute_code,character,65,0,0,1
1_variable_attribute_label,character,65,0,0,1
2_variable_code,character,65,0,0,1
2_variable_label,character,65,0,0,1
2_variable_attribute_code,character,65,11,0.16923076923076924,7
2_variable_attribute_label,character,65,0,0,8
value,numeric,65,0,0,17
value_unit,character,65,0,0,1
value_variable_code,character,65,0,0,1
value_variable_label,character,65,0,0,1
