variable,besuche,besucher,anteil_besuche_mit_cookies,anteil_besucher_mit_cookies,besuchsh_ufigkeit,seitenaufrufe,seiten_pro_besuch,zeit_im_besuch,bounce_rate,bounce_zeit,conversions_last_ad,conversion_wert_last_ad
besuche,1,0.9999885501253999,-0.02882615544496738,-0.03222048093731052,0.0028446402898766893,0.9980566027766081,0.05291682267209784,0.0951040306536338,-0.058299842345945194,0.056007870565037275,NA,NA
besucher,0.9999885501253999,1,-0.028650856602018725,-0.032213922796476446,0.0026234444031121326,0.9980017130049768,0.0519735051422294,0.09184931623188064,-0.05717470265158649,0.05381385338239917,NA,NA
anteil_besuche_mit_cookies,-0.02882615544496738,-0.028650856602018725,1,0.99760884597017,-0.23999387349030102,-0.06227556022708076,-0.6370940925600275,-0.22853253601320836,0.712572365525345,0.057515447982692106,NA,NA
anteil_besucher_mit_cookies,-0.03222048093731052,-0.032213922796476446,0.99760884597017,1,-0.2932935024248682,-0.0665403233869921,-0.6461893655928964,-0.20211333068031878,0.7203129463462802,0.08679434505294674,NA,NA
besuchsh_ufigkeit,0.0028446402898766893,0.0026234444031121326,-0.23999387349030102,-0.2932935024248682,1,0.015387704294121318,0.31834524992164825,0.10885816597789222,-0.5301418945115434,-0.03861008510528993,NA,NA
seitenaufrufe,0.9980566027766081,0.9980017130049768,-0.06227556022708076,-0.0665403233869921,0.015387704294121318,1,0.11307404834076289,0.1032557816806895,-0.11312307246353177,0.025552576228161716,NA,NA
seiten_pro_besuch,0.05291682267209784,0.0519735051422294,-0.6370940925600275,-0.6461893655928964,0.31834524992164825,0.11307404834076289,1,0.24717342267947584,-0.9547521127567397,-0.3548880425314835,NA,NA
zeit_im_besuch,0.0951040306536338,0.09184931623188064,-0.22853253601320836,-0.20211333068031878,0.10885816597789222,0.1032557816806895,0.24717342267947584,1,-0.32208824500669636,0.7187272648531606,NA,NA
bounce_rate,-0.058299842345945194,-0.05717470265158649,0.712572365525345,0.7203129463462802,-0.5301418945115434,-0.11312307246353177,-0.9547521127567397,-0.32208824500669636,1,0.26972234259867467,NA,NA
bounce_zeit,0.056007870565037275,0.05381385338239917,0.057515447982692106,0.08679434505294674,-0.03861008510528993,0.025552576228161716,-0.3548880425314835,0.7187272648531606,0.26972234259867467,1,NA,NA
conversions_last_ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
conversion_wert_last_ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
