gemeinde,anzahl
"Bad Segeberg, Stadt",65
"Bad Bramstedt, Stadt",26
Rohlstorf,24
Seedorf,20
"Norderstedt, Stadt",19
Glasau,17
Sülfeld,17
Traventhal,15
Wensin,13
Pronstorf,12
Travenhorst,9
Bornhöved,7
"Kaltenkirchen, Stadt",7
Großenaspe,6
Henstedt-Ulzburg,6
Leezen,6
Groß Kummerfeld,5
Heidmühlen,5
Kisdorf,5
Wakendorf II,5
Klein Rönnau,4
Schmalensee,4
Alveslohe,3
Bimöhlen,3
Nahe,3
Nehms,3
Rickling,3
Seth,3
Sievershütten,3
Wakendorf I,3
Weddelbrook,3
Bahrenhof,2
Bark,2
Bebensee,2
Boostedt,2
Daldorf,2
Groß Rönnau,2
Högersdorf,2
Kattendorf,2
Nützen,2
Oering,2
Schmalfeld,2
Strukdorf,2
Wiemersdorf,2
Blunk,1
Fuhlendorf,1
Groß Niendorf,1
Gönnebek,1
Hardebek,1
Hasenkrug,1
Hitzhusen,1
Hüttblek,1
Itzstedt,1
Kayhude,1
Klein Gladebrügge,1
Kükels,1
Lentföhrden,1
Neuengörs,1
Schwissel,1
Stipsdorf,1
Stocksee,1
Struvenhütten,1
Todesfelde,1
Trappenkamp,1
"Wahlstedt, Stadt",1
