Spalte,Anteil_NA
Datum_Uhrzeit,0
KBR_1011_IMK,0
KBR_1032_IMK,0
KBR_1041_IMK,0
KBR_1042_IMK,0
KBR_1071_IMK,0.03571428571428571
KBR_1101_IMK,0
KBR_1111_IMK,0
KBR_1121_IMK,0
KBR_2011_IMK,0
KBR_2021_IMK,0
KBR_2041_IMK,0
KBR_2051_IMK,0
KBR_2061_IMK,0
KBR_2071_IMK,0
KBR_2081_IMK,0
KBR_2101_IMK,0
KBR_2111_IMK,0
KBR_2121_IMK,0
KBR_3011_IMK,0
KBR_3022_IMK,0
KBR_3031_IMK,0
KBR_3032_IMK,0
KBR_3051_IMK,0
KBR_3053_IMK,0
KBR_3055_IMK,0
KBR_3081_IMK,0
KBR_3091_IMK,0
KBR_3121_IMK,0
KKB_1031_IMK,0
KKB_1032_IMK,0
KKB_1041_IMK,0
KKB_1042_IMK,0
KKB_1091_IMK,0
KKB_1112_IMK,0
KKB_1121_IMK,0
KKB_2021_IMK,0
KKB_2031_IMK,0
KKB_2071_IMK,0
KKB_2091_IMK,0
KKB_2111_IMK,0
KKB_2121_IMK,0
KKB_3011_IMK,0
KKB_3031_IMK,0
KKB_3101_IMK,0
KKB_3121_IMK,0
KKB_3123_IMK,0
KKK_1001_IMK,0
KKK_1011_IMK,0
KKK_1031_IMK,0
KKK_1041_IMK,0
KKK_1051_IMK,0
KKK_1061_IMK,0
KKK_1082_IMK,0
KKK_1111_IMK,0
KKK_2011_IMK,0
KKK_2021_IMK,0
KKK_2031_IMK,0
KKK_2032_IMK,0
KKK_2041_IMK,0
KKK_2042_IMK,0
KKK_2061_IMK,0
KKK_2072_IMK,0
KKK_2081_IMK,0
KKK_2091_IMK,0
KKK_2101_IMK,0
KKK_2111_IMK,0
KKK_2112_IMK,0
KKK_2121_IMK,0
KKK_3011_IMK,0
KKK_3031_IMK,0
KKK_3061_IMK,0
KKK_3071_IMK,0
KKK_3101_IMK,0
KKK_3111_IMK,0
