time,raumzahl,count
2014,5 Räume,3
2014,6 Räume,6
2014,7 oder mehr Räume,1
2015,4 Räume,2
2015,5 Räume,3
2015,6 Räume,6
2015,7 oder mehr Räume,5
2016,2 Räume,7
2016,3 Räume,5
2016,4 Räume,1
2016,5 Räume,1
2016,6 Räume,3
2016,7 oder mehr Räume,3
2017,6 Räume,1
2017,7 oder mehr Räume,2
2018,1 Raum,2
2018,2 Räume,2
2018,3 Räume,4
2018,4 Räume,2
2018,5 Räume,6
2018,6 Räume,7
2018,7 oder mehr Räume,9
2019,3 Räume,7
2019,4 Räume,6
2019,5 Räume,9
2019,6 Räume,7
2019,7 oder mehr Räume,1
2020,2 Räume,5
2020,3 Räume,3
2020,5 Räume,7
2020,6 Räume,6
2020,7 oder mehr Räume,4
2021,2 Räume,1
2021,3 Räume,2
2021,4 Räume,2
2021,5 Räume,3
2021,6 Räume,2
2021,7 oder mehr Räume,3
2022,2 Räume,4
2022,3 Räume,4
2022,4 Räume,9
2022,5 Räume,7
2022,7 oder mehr Räume,7
2023,2 Räume,3
2023,3 Räume,1
2023,4 Räume,1
2023,5 Räume,1
2023,6 Räume,2
2023,7 oder mehr Räume,3
2024,2 Räume,4
2024,3 Räume,6
2024,4 Räume,3
2024,6 Räume,2
2024,7 oder mehr Räume,1
