Variable,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh_ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Bounce_Rate,Zeit_im_Besuch_Sek,Bounce_Zeit_Sek
Besuche,1,0.9999585011391323,0.04522777969697503,-0.003344308072421883,0.48037870954429834,0.9999341473774866,0.08318126312341366,-0.08583059322004245,0.018783705274647,0.0694313904551947
Besucher,0.9999585011391323,1,0.04868803128700819,3.913011608832669e-4,0.4777697936874522,0.9999460315313015,0.089210761081938,-0.0921539638936943,0.01914559508078368,0.07669088299928518
Anteil_Besuche_mit_Cookies,0.04522777969697503,0.04868803128700819,1,0.9932585050874766,-0.0014050175798109815,0.05034501235308688,0.49306096337475264,-0.5217713029323234,0.015346559824968551,0.5930813880952736
Anteil_Besucher_mit_Cookies,-0.003344308072421883,3.913011608832669e-4,0.9932585050874766,1,-0.07445966898961762,0.0023068061313945773,0.5397546384858316,-0.5673585242419005,0.027226550184045288,0.6234166828427902
Besuchsh_ufigkeit,0.48037870954429834,0.4777697936874522,-0.0014050175798109815,-0.07445966898961762,1,0.4789648612891506,-0.16188177700496797,0.2359797022604713,0.2713273935565593,-0.1988864221770366
Seitenaufrufe,0.9999341473774866,0.9999460315313015,0.05034501235308688,0.0023068061313945773,0.4789648612891506,1,0.09416972855363527,-0.09501552451315809,0.022327350116172942,0.07517242602862466
Seiten_pro_Besuch,0.08318126312341366,0.089210761081938,0.49306096337475264,0.5397546384858316,-0.16188177700496797,0.09416972855363527,1,-0.8971517328504537,0.337414967919298,0.6571605259667229
Bounce_Rate,-0.08583059322004245,-0.0921539638936943,-0.5217713029323234,-0.5673585242419005,0.2359797022604713,-0.09501552451315809,-0.8971517328504537,1,-0.3085498587631752,-0.7683279634324759
Zeit_im_Besuch_Sek,0.018783705274647,0.01914559508078368,0.015346559824968551,0.027226550184045288,0.2713273935565593,0.022327350116172942,0.337414967919298,-0.3085498587631752,1,0.09848434995637177
Bounce_Zeit_Sek,0.0694313904551947,0.07669088299928518,0.5930813880952736,0.6234166828427902,-0.1988864221770366,0.07517242602862466,0.6571605259667229,-0.7683279634324759,0.09848434995637177,1
