Variable,Mittelwert,Stdabw,Minimum,P25,Median,P75,Maximum,N,Fehlend
Besuche,28635.8125,78480.36536630182,7556,11787.5,14597,18077.75,458062,32,0
Besucher,20704.25,51037.57736501923,5818,9682.75,11593,14127,299842,32,0
Anteil_Besuche_mit_Cookies,0.001171875,9.706115049536489e-4,0,3e-4,0.00125,0.0017000000000000001,0.0047,32,0
Anteil_Besucher_mit_Cookies,0.001365625,0.0011128601265614302,0,3.75e-4,0.0014000000000000002,0.0019,0.0052,32,0
Besuchsh_ufigkeit,1.1158620689655172,0.2120228633456326,1,1,1.06,1.11,2,29,3
Seitenaufrufe,55389.4375,151925.33928979244,12251,21139.5,28050,36508.5,886231,32,0
Seiten_pro_Besuch,1.904375,0.1265150124969237,1.62,1.8250000000000002,1.9,1.9825,2.21,32,0
Bounce_Rate,0.6445875,0.02898434226913203,0.5927,0.626325,0.63995,0.6626000000000001,0.7084,32,0
Zeit_im_Besuch_Sek,76.28125,12.892194124928414,51,68,77,84.25,101,32,0
Bounce_Zeit_Sek,37.96875,5.596567928708197,25,34,39.5,42.25,48,32,0
