Variable1,Variable2,Korrelation
Besuche,Besuche,1
Besucher,Besuche,0.9978450397856263
Anteil_Besuche_mit_Cookies,Besuche,-0.3434895420750387
Anteil_Besucher_mit_Cookies,Besuche,-0.3241517889549741
Besuchsh__ufigkeit,Besuche,0.1420028559635937
Seitenaufrufe,Besuche,0.8276622192632258
Seiten_pro_Besuch,Besuche,0.5057063402041783
Bounce_Rate,Besuche,-0.5515639014007915
Conversions__Last_Ad_,Besuche,NA
Conversion_Wert__Last_Ad_,Besuche,NA
Conversion_Rate__Last_Ad_,Besuche,NA
zeit_im_besuch_sec,Besuche,0.8813507057707362
bounce_zeit_sec,Besuche,0.40367114118957886
Besuche,Besucher,0.9978450397856263
Besucher,Besucher,1
Anteil_Besuche_mit_Cookies,Besucher,-0.36206588189377575
Anteil_Besucher_mit_Cookies,Besucher,-0.34476403081787954
Besuchsh__ufigkeit,Besucher,0.1468786034341016
Seitenaufrufe,Besucher,0.835932028294757
Seiten_pro_Besuch,Besucher,0.5196493833195751
Bounce_Rate,Besucher,-0.5648891023454159
Conversions__Last_Ad_,Besucher,NA
Conversion_Wert__Last_Ad_,Besucher,NA
Conversion_Rate__Last_Ad_,Besucher,NA
zeit_im_besuch_sec,Besucher,0.8741654133264518
bounce_zeit_sec,Besucher,0.3866279602813971
Besuche,Anteil_Besuche_mit_Cookies,-0.3434895420750387
Besucher,Anteil_Besuche_mit_Cookies,-0.36206588189377575
Anteil_Besuche_mit_Cookies,Anteil_Besuche_mit_Cookies,1
Anteil_Besucher_mit_Cookies,Anteil_Besuche_mit_Cookies,0.9976184057567836
Besuchsh__ufigkeit,Anteil_Besuche_mit_Cookies,-0.2413887223560345
Seitenaufrufe,Anteil_Besuche_mit_Cookies,-0.5256673001800253
Seiten_pro_Besuch,Anteil_Besuche_mit_Cookies,-0.6370753817012952
Bounce_Rate,Anteil_Besuche_mit_Cookies,0.7126078604699678
Conversions__Last_Ad_,Anteil_Besuche_mit_Cookies,NA
Conversion_Wert__Last_Ad_,Anteil_Besuche_mit_Cookies,NA
Conversion_Rate__Last_Ad_,Anteil_Besuche_mit_Cookies,NA
zeit_im_besuch_sec,Anteil_Besuche_mit_Cookies,-0.22832181696586556
bounce_zeit_sec,Anteil_Besuche_mit_Cookies,0.057895893371647016
Besuche,Anteil_Besucher_mit_Cookies,-0.3241517889549741
Besucher,Anteil_Besucher_mit_Cookies,-0.34476403081787954
Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,0.9976184057567836
Anteil_Besucher_mit_Cookies,Anteil_Besucher_mit_Cookies,1
Besuchsh__ufigkeit,Anteil_Besucher_mit_Cookies,-0.29511245738334024
Seitenaufrufe,Anteil_Besucher_mit_Cookies,-0.5239836462692786
Seiten_pro_Besuch,Anteil_Besucher_mit_Cookies,-0.6460964328637795
Bounce_Rate,Anteil_Besucher_mit_Cookies,0.7202655023007639
Conversions__Last_Ad_,Anteil_Besucher_mit_Cookies,NA
Conversion_Wert__Last_Ad_,Anteil_Besucher_mit_Cookies,NA
Conversion_Rate__Last_Ad_,Anteil_Besucher_mit_Cookies,NA
zeit_im_besuch_sec,Anteil_Besucher_mit_Cookies,-0.20167258972519048
bounce_zeit_sec,Anteil_Besucher_mit_Cookies,0.08734991318676498
Besuche,Besuchsh__ufigkeit,0.1420028559635937
Besucher,Besuchsh__ufigkeit,0.1468786034341016
