"","Besuche","Besucher","Besuchsh__ufigkeit","Seitenaufrufe","Seiten_pro_Besuch","Conversions__Last_Ad_","Conversion_Wert__Last_Ad_","Anteil_Besuche_mit_Cookies_num","Anteil_Besucher_mit_Cookies_num","Bounce_Rate_num","Conversion_Rate__Last_Ad__num","Zeit_im_Besuch_sec","Bounce_Zeit_sec","Besuchsh_freq_num"
"Besuche",1,0.997845039785626,0.142002855963594,0.827662219263226,0.505706340204178,NA,NA,-0.343489542075039,-0.324151788954974,-0.551563901400791,NA,0.881350705770736,0.403671141189579,0.142002855963594
"Besucher",0.997845039785626,1,0.146878603434102,0.835932028294757,0.519649383319575,NA,NA,-0.362065881893776,-0.344764030817879,-0.564889102345416,NA,0.874165413326452,0.386627960281397,0.146878603434102
"Besuchsh__ufigkeit",0.142002855963594,0.146878603434102,1,0.250549949698853,0.320650816887923,NA,NA,-0.241388722356035,-0.29511245738334,-0.535455493526793,NA,0.109084098641782,-0.0386399814791698,1
"Seitenaufrufe",0.827662219263226,0.835932028294757,0.250549949698853,1,0.884274985565117,NA,NA,-0.525667300180025,-0.523983646269279,-0.855896558255771,NA,0.567774916365327,-0.0838521063102208,0.250549949698853
"Seiten_pro_Besuch",0.505706340204178,0.519649383319575,0.320650816887923,0.884274985565117,1,NA,NA,-0.637075381701295,-0.646096432863779,-0.954723633365722,NA,0.246330411518372,-0.356072903555525,0.320650816887923
"Conversions__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conversion_Wert__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anteil_Besuche_mit_Cookies_num",-0.343489542075039,-0.362065881893776,-0.241388722356035,-0.525667300180025,-0.637075381701295,NA,NA,1,0.997618405756784,0.712607860469968,NA,-0.228321816965866,0.057895893371647,-0.241388722356035
"Anteil_Besucher_mit_Cookies_num",-0.324151788954974,-0.344764030817879,-0.29511245738334,-0.523983646269279,-0.646096432863779,NA,NA,0.997618405756784,1,0.720265502300764,NA,-0.20167258972519,0.087349913186765,-0.29511245738334
"Bounce_Rate_num",-0.551563901400791,-0.564889102345416,-0.535455493526793,-0.855896558255771,-0.954723633365722,NA,NA,0.712607860469968,0.720265502300764,1,NA,-0.321241304228494,0.270949791530128,-0.535455493526793
"Conversion_Rate__Last_Ad__num",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zeit_im_Besuch_sec",0.881350705770736,0.874165413326452,0.109084098641782,0.567774916365327,0.246330411518372,NA,NA,-0.228321816965866,-0.20167258972519,-0.321241304228494,NA,1,0.71833687076643,0.109084098641782
"Bounce_Zeit_sec",0.403671141189579,0.386627960281397,-0.0386399814791698,-0.0838521063102208,-0.356072903555525,NA,NA,0.057895893371647,0.087349913186765,0.270949791530128,NA,0.71833687076643,1,-0.0386399814791698
"Besuchsh_freq_num",0.142002855963594,0.146878603434102,1,0.250549949698853,0.320650816887923,NA,NA,-0.241388722356035,-0.29511245738334,-0.535455493526793,NA,0.109084098641782,-0.0386399814791698,1
