Gemeinde,n
"Bad Oldesloe, Stadt",72
"Ahrensburg, Stadt",36
"Reinbek, Stadt",30
Jersbek,22
Travenbrück,19
Trittau,18
Großhansdorf,17
Westerau,13
"Bargteheide, Stadt",12
Grabau,10
"Reinfeld (Holstein), Stadt",10
Steinburg,9
Großensee,7
Siek,7
Tangstedt,7
"Glinde, Stadt",5
Witzhave,5
Bargfeld-Stegen,4
Hamfelde,4
Hohenfelde,4
Tremsbüttel,4
Hamberge,3
Rümpel,3
Wesenberg,3
Zarpen,3
Braak,2
Grönwohld,2
Hoisdorf,2
Klein Wesenberg,2
Lütjensee,2
Barnitz,1
Brunsbek,1
Feldhorst,1
Lasbek,1
Mönkhagen,1
Neritz,1
Pölitz,1
Rethwisch,1
Todendorf,1
