statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2014,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,5147,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2014,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,32850,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2015,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,41724,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2015,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,8714,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2016,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,54582,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2016,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,13444,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2017,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,24469,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2017,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,98642,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2018,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,98813,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2018,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,24020,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2019,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,99602,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2019,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,23151,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2020,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,13619,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2020,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,66696,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2021,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,12393,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2021,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,71487,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2022,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,95705,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2022,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,20820,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2023,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,102156,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2023,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,20221,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2024,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,18371,Anzahl,GANK03,Gästeankünfte in Beherbergungsbetrieben
45511,Monatserhebung im Tourismus,JAHR,Berichtsjahr,2024,GEMEIN,Gemeinden (einschl. gemeindefreie Gebiete),9780137,Rettenberg,HERKG1,Herkunft der Gäste,,Insgesamt,96437,Anzahl,GUEB03,Gästeübernachtungen in Beherbergungsbetrieben
