vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,8,6,7,8,5,6
0,gpt-4o,9,8,7,9,6,7
0,google/gemini-3-flash-preview,10,9,9,10,9,9
0,x-ai/grok-4.1-fast,10,7,8,10,8,9
0,anthropic/claude-sonnet-4.5,9,8,9,10,8,7
1,gpt-5,4,3,3,2,5,6
1,gpt-4o,8,7,6,5,7,8
1,google/gemini-3-flash-preview,7,3,4,8,8,8
1,x-ai/grok-4.1-fast,3,6,5,9,7,6
1,anthropic/claude-sonnet-4.5,8,4,3,5,6,7
2,gpt-5,7,7,8,8,6,6
2,gpt-4o,8,7,6,5,7,6
2,google/gemini-3-flash-preview,9,9,9,8,7,6
2,x-ai/grok-4.1-fast,2,7,8,10,9,4
2,anthropic/claude-sonnet-4.5,9,8,9,10,8,7
