,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh__ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Zeit_im_Besuch,Bounce_Rate,Bounce_Zeit,Conversions__Last_Ad_,Conversion_Wert__Last_Ad_,Conversion_Rate__Last_Ad_,Unnamed__14,Zeit_im_Besuch_Sekunden,Bounce_Zeit_Sekunden
Besuche,1.0,0.9978450397856263,-0.34348954207503873,-0.32415178895497393,0.14200285596359372,0.8276622192632258,0.5057063402041783,,-0.5515639014007915,,,,,,0.881350705770736,0.4036711411895789
Besucher,0.9978450397856263,1.0,-0.36206588189377664,-0.3447640308178803,0.14687860343410197,0.8359320282947578,0.5196493833195757,,-0.5648891023454169,,,,,,0.8741654133264516,0.3866279602813968
Anteil_Besuche_mit_Cookies,-0.34348954207503873,-0.36206588189377664,1.0,0.9976184057567835,-0.24138872235603454,-0.5256673001800253,-0.6370753817012954,,0.7126078604699676,,,,,,-0.22832181696586545,0.057895893371646974
Anteil_Besucher_mit_Cookies,-0.32415178895497393,-0.3447640308178803,0.9976184057567835,1.0,-0.29511245738334024,-0.5239836462692787,-0.6460964328637795,,0.7202655023007634,,,,,,-0.20167258972519017,0.08734991318676517
Besuchsh__ufigkeit,0.14200285596359372,0.14687860343410197,-0.24138872235603454,-0.29511245738334024,1.0,0.25054994969885286,0.3206508168879235,,-0.5354554935267932,,,,,,0.10908409864178163,-0.038639981479169715
Seitenaufrufe,0.8276622192632258,0.8359320282947578,-0.5256673001800253,-0.5239836462692787,0.25054994969885286,1.0,0.8842749855651165,,-0.855896558255771,,,,,,0.5677749163653272,-0.0838521063102208
Seiten_pro_Besuch,0.5057063402041783,0.5196493833195757,-0.6370753817012954,-0.6460964328637795,0.3206508168879235,0.8842749855651165,1.0,,-0.9547236333657223,,,,,,0.24633041151837148,-0.35607290355552523
Zeit_im_Besuch,,,,,,,,,,,,,,,,
Bounce_Rate,-0.5515639014007915,-0.5648891023454169,0.7126078604699676,0.7202655023007634,-0.5354554935267932,-0.855896558255771,-0.9547236333657223,,1.0,,,,,,-0.32124130422849423,0.2709497915301279
Bounce_Zeit,,,,,,,,,,,,,,,,
Conversions__Last_Ad_,,,,,,,,,,,,,,,,
Conversion_Wert__Last_Ad_,,,,,,,,,,,,,,,,
Conversion_Rate__Last_Ad_,,,,,,,,,,,,,,,,
Unnamed__14,,,,,,,,,,,,,,,,
Zeit_im_Besuch_Sekunden,0.881350705770736,0.8741654133264516,-0.22832181696586545,-0.20167258972519017,0.10908409864178163,0.5677749163653272,0.24633041151837148,,-0.32124130422849423,,,,,,1.0,0.7183368707664296
Bounce_Zeit_Sekunden,0.4036711411895789,0.3866279602813968,0.057895893371646974,0.08734991318676517,-0.038639981479169715,-0.0838521063102208,-0.35607290355552523,,0.2709497915301279,,,,,,0.7183368707664296,1.0
