,count,mean,std,min,25%,50%,75%,max
Besuche,30.0,2734.866666666667,791.2824916609715,1463.0,1884.5,3070.5,3325.5,4149.0
Besucher,30.0,2287.5,615.6852504211928,1286.0,1619.25,2557.5,2722.5,3358.0
Anteil_Besuche_mit_Cookies,30.0,0.0013666666666666666,0.0012055427546683417,0.0,0.000325,0.00135,0.001875,0.0040999999999999995
Anteil_Besucher_mit_Cookies,30.0,0.0016133333333333332,0.0014219300466166626,0.0,0.000325,0.0016,0.0023,0.004699999999999999
Besuchsh__ufigkeit,23.0,1.0434782608695652,0.20851441405707477,1.0,1.0,1.0,1.0,2.0
Seitenaufrufe,30.0,7007.1,3706.406907244396,2672.0,4457.0,6815.0,7760.75,17430.0
Seiten_pro_Besuch,30.0,2.4590000000000005,0.7269461394458138,1.69,1.9525,2.21,2.73,4.69
Bounce_Rate,30.0,0.6177733333333333,0.0857635680764006,0.44380000000000003,0.565625,0.6371,0.67345,0.7252
Conversions__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conversion_Wert__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conversion_Rate__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeit_im_Besuch_Sek,30.0,79.1,15.095900334082488,54.0,62.5,86.0,90.0,104.0
Bounce_Zeit_Sek,30.0,54.266666666666666,14.656841013866089,36.0,39.25,56.0,67.75,80.0
