Pruefmerkmal,Einheit,Methode,nachgewiesen,Ergebnis,Ergebnis_num
Cäsium-134 Cs-134,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cäsium-137 Cs-137,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Iod-131 I-131,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Kalium-40 K-40,Bq/l,Gammaspektrometrie (flüssig),True,"8,39E-02",0.0839
Beryllium-7 Be-7,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cobalt-60 Co-60,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Radium-226 Ra-226,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Radium-228 Ra-228,Bq/l,Gammaspektrometrie (flüssig),True,"4,77E-03",0.00477
Thorium-228 Th-228,Bq/l,Gammaspektrometrie (flüssig),True,"1,30E-03",0.0013
Uran-235 U-235,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Uran-238 U-238,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Natrium-22 Na-22,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Chrom-51 Cr-51,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Mangan-54 Mn-54,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cobalt-57 Co-57,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cobalt-58 Co-58,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Eisen-59 Fe-59,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Zink-65 Zn-65,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Selen-75 Se-75,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Strontium-85 Sr-85,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Yttrium-88 Y-88,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Zirkon-95 Zr-95,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Niob-95 Nb-95,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Technetium-99m Tc-99m,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Ruthenium-103 Ru-103,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Ruthenium-106 Ru-106,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Silber-110m Ag-110m,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Indium-111 In-111,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Antimon-124 Sb-124,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Antimon-125 Sb-125,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Tellur-123m Te-123m,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Tellur-132 Te-132,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Barium-140 Ba-140,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Lanthan-140 La-140,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cer-139 Ce-139,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cer-141 Ce-141,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Cer-144 Ce-144,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Thallium-201 Tl-201,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Actinium-227 Ac-227,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Neptunium-239 Np-239,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Americium-241 Am-241,Bq/l,Gammaspektrometrie (flüssig),False,n.n.,
Messzeit,s,Gammaspektrometrie (flüssig),True,250000,250000.0
Tritium H-3,Bq/l,Tritium-LSC,False,n.n.,
Messzeit,s,Tritium-LSC,True,118359,118359.0
