,count,mean,std,min,25%,50%,75%,max
Besuche,31.0,14783.354838709678,4392.1960987520215,7556.0,11758.0,13815.0,17731.5,25175.0
Besucher,31.0,11699.806451612903,3258.32172975961,5818.0,9668.5,11207.0,13957.5,19197.0
Besuchsh_ufigkeit,28.0,1.0964285714285715,0.18777871700713733,1.0,1.0,1.0550000000000002,1.11,2.0
Seitenaufrufe,31.0,28588.09677419355,9925.05329072121,12251.0,21083.0,26087.0,36049.5,49993.0
Seiten_pro_Besuch,31.0,1.9035483870967744,0.12851843932802723,1.62,1.82,1.89,1.9849999999999999,2.21
Anteil_Besuche_mit_Cookies_pct,31.0,0.11677419354838708,0.09863694699162152,0.0,0.03,0.12,0.17,0.47
Anteil_Besucher_mit_Cookies_pct,31.0,0.13709677419354838,0.11308384937402562,0.0,0.035,0.15,0.19,0.52
Bounce_Rate_pct,31.0,64.47999999999999,2.9438104558547917,59.27,62.515,64.04,66.58,70.84
Zeit_im_Besuch_sek,31.0,76.25806451612904,13.10462448129281,51.0,67.0,77.0,84.5,101.0
Bounce_Zeit_sek,31.0,37.935483870967744,5.685862490252865,25.0,34.0,40.0,42.5,48.0
