,count,mean,std,min,25%,50%,75%,max
Besuche,30.0,2734.866666666667,791.2824916609716,1463.0,1884.5,3070.5,3325.5,4149.0
Besucher,30.0,2287.5,615.6852504211928,1286.0,1619.25,2557.5,2722.5,3358.0
Anteil_Besuche_mit_Cookies,30.0,0.1366666666666667,0.12055427546683416,0.0,0.0325,0.135,0.1875,0.41
Anteil_Besucher_mit_Cookies,30.0,0.16133333333333333,0.14219300466166626,0.0,0.0325,0.16,0.23,0.47
Seitenaufrufe,30.0,7007.1,3706.406907244396,2672.0,4457.0,6815.0,7760.75,17430.0
Seiten_pro_Besuch,30.0,2.4590000000000005,0.7269461394458138,1.69,1.9525,2.21,2.73,4.69
Bounce_Rate,30.0,61.77733333333334,8.57635680764006,44.38,56.5625,63.709999999999994,67.345,72.52
Conversions__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conversion_Wert__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conversion_Rate__Last_Ad_,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeit_im_Besuch_Sek,30.0,79.1,15.095900334082488,54.0,62.5,86.0,90.0,104.0
Bounce_Zeit_Sek,30.0,54.266666666666666,14.656841013866089,36.0,39.25,56.0,67.75,80.0
