,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh_ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Bounce_Rate,Zeit_im_Besuch_Sek,Bounce_Zeit_Sek
Besuche,1.0,0.9967092166635995,0.3847465938973966,0.43195205871984954,-0.26765396615453335,0.9934196509153802,0.8411279227866396,-0.807517709559312,0.1566824089308612,0.6516737262973594
Besucher,0.9967092166635995,1.0,0.3925687331748193,0.4379675547859217,-0.278310969880952,0.9868948019447343,0.8336995544907622,-0.8089690506875097,0.14318929647159598,0.6871783791480904
Anteil_Besuche_mit_Cookies,0.3847465938973966,0.3925687331748193,1.0,0.99456801076445,-0.002417706658643356,0.40945940596447206,0.49265012189979346,-0.5213720240713685,0.01510666830403954,0.5927785368929332
Anteil_Besucher_mit_Cookies,0.43195205871984954,0.4379675547859217,0.99456801076445,1.0,-0.05446936398726789,0.4577768966718562,0.5413278083945108,-0.5691843482549066,0.027514410732347557,0.6249135908808122
Besuchsh_ufigkeit,-0.26765396615453335,-0.278310969880952,-0.002417706658643356,-0.05446936398726789,1.0,-0.25123117114822424,-0.201057644112139,0.28835634760007084,0.31167510669196974,-0.24179595466957474
Seitenaufrufe,0.9934196509153802,0.9868948019447343,0.40945940596447206,0.4577768966718562,-0.25123117114822424,1.0,0.8919939431056312,-0.8351821910920327,0.18945664654475428,0.6479460255129377
Seiten_pro_Besuch,0.8411279227866396,0.8336995544907622,0.49265012189979346,0.5413278083945108,-0.201057644112139,0.8919939431056312,1.0,-0.8970030013842121,0.3372868565497573,0.6567375884036587
Bounce_Rate,-0.807517709559312,-0.8089690506875097,-0.5213720240713685,-0.5691843482549066,0.28835634760007084,-0.8351821910920327,-0.8970030013842121,1.0,-0.3084092343772498,-0.7680281644980516
Zeit_im_Besuch_Sek,0.1566824089308612,0.14318929647159598,0.01510666830403954,0.027514410732347557,0.31167510669196974,0.18945664654475428,0.3372868565497573,-0.3084092343772498,1.0,0.09820288533399082
Bounce_Zeit_Sek,0.6516737262973594,0.6871783791480904,0.5927785368929332,0.6249135908808122,-0.24179595466957474,0.6479460255129377,0.6567375884036587,-0.7680281644980516,0.09820288533399082,1.0
