,count,mean,std,min,25%,50%,75%,max
Besuche,31.0,14783.354838709678,4392.1960987520215,7556.0,11758.0,13815.0,17731.5,25175.0
Besucher,31.0,11699.806451612903,3258.3217297596093,5818.0,9668.5,11207.0,13957.5,19197.0
Anteil_Besuche_mit_Cookies,31.0,0.001167741935483871,0.0009863694699162153,0.0,0.0003,0.0012,0.0017000000000000001,0.004699999999999999
Anteil_Besucher_mit_Cookies,31.0,0.0013709677419354838,0.001130838493740256,0.0,0.00035,0.0015,0.0019,0.0052
Besuchsh_ufigkeit,28.0,1.0964285714285713,0.1877787170071373,1.0,1.0,1.0550000000000002,1.11,2.0
Seitenaufrufe,31.0,28588.09677419355,9925.05329072121,12251.0,21083.0,26087.0,36049.5,49993.0
Seiten_pro_Besuch,31.0,1.9035483870967742,0.12851843932802726,1.62,1.82,1.89,1.9849999999999999,2.21
Bounce_Rate,31.0,0.6448,0.02943810455854792,0.5927,0.62515,0.6404000000000001,0.6658,0.7084
Zeit_im_Besuch_Sek,31.0,76.25806451612904,13.104624481292815,51.0,67.0,77.0,84.5,101.0
Bounce_Zeit_Sek,31.0,37.935483870967744,5.685862490252865,25.0,34.0,40.0,42.5,48.0
