value_variable_label,Jahr,value
Unterrichtswochenstunden,2014,306
Schüler,2014,179
Unterrichtswochenstunden,2015,285
Schüler,2015,179
Unterrichtswochenstunden,2016,296
Schüler,2016,186
Unterrichtswochenstunden,2017,312
Schüler,2017,187
Unterrichtswochenstunden,2018,318
Schüler,2018,193
Schüler,2019,191
Unterrichtswochenstunden,2019,311
Unterrichtswochenstunden,2020,305
Schüler,2020,190
Schüler,2021,209
Unterrichtswochenstunden,2021,334
Unterrichtswochenstunden,2022,338
Schüler,2022,217
Unterrichtswochenstunden,2023,352
Schüler,2023,222
Unterrichtswochenstunden,2024,374
Schüler,2024,217
