vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,4,3,4,6,6,6
0,gpt-4o,9,7,8,9,8,9
0,google/gemini-3-flash-preview,8,7,7,5,9,9
0,x-ai/grok-4.1-fast,4,3,5,10,9,9
0,anthropic/claude-sonnet-4.5,1,7,3,6,7,8
1,gpt-5,6,5,6,7,6,7
1,gpt-4o,9,8,7,6,8,9
1,google/gemini-3-flash-preview,9,10,10,8,8,8
1,x-ai/grok-4.1-fast,9,10,10,7,9,9
1,anthropic/claude-sonnet-4.5,1,7,3,8,7,6
2,gpt-5,3,3,3,6,4,5
2,gpt-4o,9,7,6,8,7,8
2,google/gemini-3-flash-preview,9,3,4,9,5,7
2,x-ai/grok-4.1-fast,9,6,5,10,7,7
2,anthropic/claude-sonnet-4.5,2,4,5,6,4,5
