"","Besuche","Besucher","Besuchsh__ufigkeit","Seitenaufrufe","Seiten_pro_Besuch","Conversions__Last_Ad_","Conversion_Wert__Last_Ad_","Seiten_pro_Besuch_num","Bounce_Rate_pct","Anteil_Besuche_mit_Cookies_pct","Anteil_Besucher_mit_Cookies_pct","Besuchsh__ufigkeit_num","Conversion_Rate__Last_Ad__pct","Zeit_im_Besuch_secs","Bounce_Zeit_secs"
"Besuche",1,0.997845039785626,0.142002855963594,0.827662219263226,0.505706340204178,NA,NA,0.505706340204178,-0.551563901400791,-0.343489542075039,-0.324151788954974,0.142002855963594,NA,0.881350705770736,0.403671141189579
"Besucher",0.997845039785626,1,0.146878603434102,0.835932028294757,0.519649383319575,NA,NA,0.519649383319575,-0.564889102345416,-0.362065881893776,-0.34476403081788,0.146878603434102,NA,0.874165413326452,0.386627960281397
"Besuchsh__ufigkeit",0.142002855963594,0.146878603434102,1,0.250549949698853,0.320650816887923,NA,NA,0.320650816887924,-0.535455493526793,-0.241388722356035,-0.29511245738334,1,NA,0.109084098641782,-0.0386399814791698
"Seitenaufrufe",0.827662219263226,0.835932028294757,0.250549949698853,1,0.884274985565117,NA,NA,0.884274985565117,-0.855896558255771,-0.525667300180025,-0.523983646269279,0.250549949698853,NA,0.567774916365327,-0.0838521063102208
"Seiten_pro_Besuch",0.505706340204178,0.519649383319575,0.320650816887923,0.884274985565117,1,NA,NA,1,-0.954723633365722,-0.637075381701295,-0.646096432863779,0.320650816887923,NA,0.246330411518372,-0.356072903555525
"Conversions__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conversion_Wert__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seiten_pro_Besuch_num",0.505706340204178,0.519649383319575,0.320650816887924,0.884274985565117,1,NA,NA,1,-0.954723633365722,-0.637075381701295,-0.646096432863779,0.320650816887924,NA,0.246330411518372,-0.356072903555525
"Bounce_Rate_pct",-0.551563901400791,-0.564889102345416,-0.535455493526793,-0.855896558255771,-0.954723633365722,NA,NA,-0.954723633365722,1,0.712607860469968,0.720265502300764,-0.535455493526793,NA,-0.321241304228494,0.270949791530128
"Anteil_Besuche_mit_Cookies_pct",-0.343489542075039,-0.362065881893776,-0.241388722356035,-0.525667300180025,-0.637075381701295,NA,NA,-0.637075381701295,0.712607860469968,1,0.997618405756784,-0.241388722356035,NA,-0.228321816965866,0.057895893371647
"Anteil_Besucher_mit_Cookies_pct",-0.324151788954974,-0.34476403081788,-0.29511245738334,-0.523983646269279,-0.646096432863779,NA,NA,-0.646096432863779,0.720265502300764,0.997618405756784,1,-0.29511245738334,NA,-0.20167258972519,0.087349913186765
"Besuchsh__ufigkeit_num",0.142002855963594,0.146878603434102,1,0.250549949698853,0.320650816887923,NA,NA,0.320650816887924,-0.535455493526793,-0.241388722356035,-0.29511245738334,1,NA,0.109084098641782,-0.0386399814791698
"Conversion_Rate__Last_Ad__pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zeit_im_Besuch_secs",0.881350705770736,0.874165413326452,0.109084098641782,0.567774916365327,0.246330411518372,NA,NA,0.246330411518372,-0.321241304228494,-0.228321816965866,-0.20167258972519,0.109084098641782,NA,1,0.71833687076643
"Bounce_Zeit_secs",0.403671141189579,0.386627960281397,-0.0386399814791698,-0.0838521063102208,-0.356072903555525,NA,NA,-0.356072903555525,0.270949791530128,0.057895893371647,0.087349913186765,-0.0386399814791698,NA,0.71833687076643,1
