"","Besuche","Besucher","Besuchsh__ufigkeit","Seitenaufrufe","Seiten_pro_Besuch","Conversions__Last_Ad_","Conversion_Wert__Last_Ad_","Seiten_pro_Besuch_num","Bounce_Rate_pct","Anteil_Besuche_mit_Cookies_pct","Anteil_Besucher_mit_Cookies_pct","Besuchsh__ufigkeit_num","Conversion_Rate__Last_Ad__pct","Zeit_im_Besuch_secs","Bounce_Zeit_secs"
"Besuche",1,0.989766407119021,0.0964236519799837,0.911012235817575,0.640837484201729,NA,NA,0.640837484201729,-0.678309232480534,-0.223050638982851,-0.232480051624816,0.0964236519799837,NA,0.753872919182969,0.195051663162111
"Besucher",0.989766407119021,1,0.160706086633306,0.905228031145718,0.647294845925791,NA,NA,0.647294845925791,-0.667185761957731,-0.240311844210669,-0.254205066083012,0.160706086633306,NA,0.741170951582192,0.161614235191464
"Besuchsh__ufigkeit",0.0964236519799837,0.160706086633306,1,0.321412173266613,0.322049264423518,NA,NA,0.322049264423518,-0.321412173266613,-0.257895387172284,-0.321730245757379,1,NA,0.0321809911536923,-0.0965190737272137
"Seitenaufrufe",0.911012235817575,0.905228031145718,0.321412173266613,1,0.839234356482389,NA,NA,0.839234356482389,-0.842491657397108,-0.434444360149512,-0.446146688667278,0.321412173266613,NA,0.651588653766184,0.106999769506072
"Seiten_pro_Besuch",0.640837484201729,0.647294845925791,0.322049264423518,0.839234356482389,1,NA,NA,1,-0.91939470891902,-0.66312922446735,-0.67654141682727,0.322049264423518,NA,0.426675718275993,-0.0618028050789754
"Conversions__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conversion_Wert__Last_Ad_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seiten_pro_Besuch_num",0.640837484201729,0.647294845925791,0.322049264423518,0.839234356482389,1,NA,NA,1,-0.91939470891902,-0.66312922446735,-0.67654141682727,0.322049264423518,NA,0.426675718275993,-0.0618028050789754
"Bounce_Rate_pct",-0.678309232480534,-0.667185761957731,-0.321412173266613,-0.842491657397108,-0.91939470891902,NA,NA,-0.91939470891902,1,0.661081743075806,0.67011590988579,-0.321412173266613,NA,-0.440557718363798,0.0762373357730766
"Anteil_Besuche_mit_Cookies_pct",-0.223050638982851,-0.240311844210669,-0.257895387172284,-0.434444360149512,-0.66312922446735,NA,NA,-0.66312922446735,0.661081743075806,1,0.996953689903384,-0.257895387172284,NA,0.000898185879832088,0.217096864069535
"Anteil_Besucher_mit_Cookies_pct",-0.232480051624816,-0.254205066083012,-0.321730245757379,-0.446146688667278,-0.67654141682727,NA,NA,-0.67654141682727,0.67011590988579,0.996953689903384,1,-0.321730245757379,NA,-0.00415036134273217,0.226438780323844
"Besuchsh__ufigkeit_num",0.0964236519799837,0.160706086633306,1,0.321412173266613,0.322049264423518,NA,NA,0.322049264423518,-0.321412173266613,-0.257895387172284,-0.321730245757379,1,NA,0.0321809911536923,-0.0965190737272137
"Conversion_Rate__Last_Ad__pct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zeit_im_Besuch_secs",0.753872919182969,0.741170951582192,0.0321809911536923,0.651588653766184,0.426675718275993,NA,NA,0.426675718275993,-0.440557718363798,0.000898185879832088,-0.00415036134273217,0.0321809911536923,NA,1,0.662498641603167
"Bounce_Zeit_secs",0.195051663162111,0.161614235191464,-0.0965190737272137,0.106999769506072,-0.0618028050789754,NA,NA,-0.0618028050789754,0.0762373357730766,0.217096864069535,0.226438780323844,-0.0965190737272137,NA,0.662498641603167,1
