variable,fehlend_n,fehlend_anteil
Datum,0,0
Besuche,0,0
Besucher,0,0
Anteil_Besuche_mit_Cookies,0,0
Anteil_Besucher_mit_Cookies,0,0
Besuchsh__ufigkeit,7,0.23333333333333334
Seitenaufrufe,0,0
Seiten_pro_Besuch,0,0
Zeit_im_Besuch,0,0
Bounce_Rate,0,0
Bounce_Zeit,0,0
Conversions__Last_Ad_,0,0
Conversion_Wert__Last_Ad_,0,0
Conversion_Rate__Last_Ad_,0,0
Datum_parsed,0,0
Seiten_pro_Besuch_num,0,0
Bounce_Rate_pct,0,0
Anteil_Besuche_mit_Cookies_pct,0,0
Anteil_Besucher_mit_Cookies_pct,0,0
Besuchsh__ufigkeit_num,7,0.23333333333333334
Conversion_Rate__Last_Ad__pct,0,0
Zeit_im_Besuch_secs,0,0
Bounce_Zeit_secs,0,0
