vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,gpt-5,4,3,6,8,7,7
0,gpt-4o,8,6,7,9,8,9
0,google/gemini-3-flash-preview,7,4,7,6,9,9
0,x-ai/grok-4.1-fast,7,5,9,10,9,9
0,anthropic/claude-sonnet-4.5,1,6,7,9,8,7
1,gpt-5,3,4,5,5,6,6
1,gpt-4o,8,7,6,5,7,8
1,google/gemini-3-flash-preview,9,10,7,9,10,9
1,x-ai/grok-4.1-fast,4,8,6,9,9,9
1,anthropic/claude-sonnet-4.5,1,4,3,5,4,6
2,gpt-5,4,4,4,8,4,6
2,gpt-4o,8,9,7,9,8,8
2,google/gemini-3-flash-preview,9,6,6,10,8,9
2,x-ai/grok-4.1-fast,9,5,6,10,8,9
2,anthropic/claude-sonnet-4.5,1,7,4,5,6,7
