vis_index,model,bugs,transformation,compliance,type,encoding,aesthetics
0,openai/gpt-5,4,3,3,7,4,6
0,openai/gpt-4o,9,7,6,8,7,8
0,google/gemini-3-flash-preview,10,9,7,7,8,9
0,x-ai/grok-4.1-fast,10,7,9,10,9,8
0,anthropic/claude-sonnet-4.5,7,6,5,6,7,7
1,openai/gpt-5,3,3,4,7,5,6
1,openai/gpt-4o,9,8,7,9,8,9
1,google/gemini-3-flash-preview,10,6,8,10,9,9
1,x-ai/grok-4.1-fast,3,4,5,9,8,9
1,anthropic/claude-sonnet-4.5,8,6,6,8,7,7
2,openai/gpt-5,4,3,3,6,4,6
2,openai/gpt-4o,9,7,6,5,6,8
2,google/gemini-3-flash-preview,10,7,7,7,9,9
2,x-ai/grok-4.1-fast,10,6,5,6,8,9
2,anthropic/claude-sonnet-4.5,6,5,4,5,4,7
