,Anteil_fehlend,dtype
Hauptprobenummer,0.0,object
Bezeichnung,0.0,object
Probe_Entnahmeart,0.0,object
Probenahme_Beginn_Datum,0.0,object
Probenahme_Beginn_Zeit,0.0,object
Probenahme_Ende_Datum,0.0,object
Probenahme_Ende_Zeit,0.0,object
Umweltbereich,0.0,object
Messprogrammgruppe,0.0,object
Entnahmestelle,0.0,object
Herkunftsstaat,0.0,object
Methode,0.0,object
Pruefmerkmal,0.0,object
Ergebnis,0.0,object
Einheit,0.0,object
Ergebnis_num,0.6057692307692307,float64
Ergebnis_zensiert,0.0,bool
Ergebnis_Grenze,0.7596153846153846,float64
